time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_useful_w,q_cascade_w,q_evap_total_w,q_evap_load_requested_w,q_map_capacity_balance_error_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_evaporating_pressure_pa,refrigerant_condensing_pressure_pa,refrigerant_pressure_ratio,refrigerant_condensing_pressure_from_tcond_pa,refrigerant_pressure_ratio_from_tcond,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_pressure_ratio,air_damper_opening,air_damper_resistance_head_coefficient,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,humidity_ratio_room_kg_kg_da,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,compressor_map_flow_kg_s,valve_opening,refrigerant_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_damper_opening,startup_solved_air_cycle_compressor_mass_flow_damper_resistance_head_coefficient,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_compressor_mass_flow_system_static_head_m,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_compressor_eta_is,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_expansion_valve_opening,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_superheat_to_expansion_valve_output,pid_B4_condensing_temperature_to_sink_flow_output
0.0,-30.0,5.0,35.0,24.082169879134767,5.0,-26.5,-40.00098207090048,1.5,0.4099397524514643,-5.0,40.0,42257.71455919335,25750.0,68007.71455919335,77250.03949287007,103000.03949287007,103000.03949287007,-36.650861416739644,131128.506037226,91419.03284516023,56426.70791148352,38880.36103741856,28128.466544355942,21024.7430522423,1533.0,103036.69035428681,354655.9902153604,1550804.7311754609,4.372701361208517,1554533.227914083,4.383214356453171,0.7474542922234406,0.09539103345998717,4.0276354001717705,1.2667487812088805,0.5,49.53814192213652,4.0276354001717705,1.2847212910722052,1.2850212022149787,3.1350265837116926,19293.25030638875,1967.364013846599,0.0002334323654385558,7.88469140381082e-05,0.0001545854514004476,0.0006226138364119755,0.09509461553851105,0.09539103345998717,0.5022468948227622,5.409939752451464,28128.466544355942,21024.7430522423,0.7474542924481272,1.0149067968127012,0.6306290690972615,42257.71455919335,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.71455919335,25750.0,1.0,812.0,812.0,0.0,0.5,49.53814192213652,15415.663181390977,19.843140688648734,36434.55433446042,42257.71455919335,42257.71455919335,6.274091197953397,4321.70561104643,0.7474542924481272,18178.270850148194,0.5022468948227622,0.0,,,,
1.0,-29.99995313051664,5.000329773684636,34.999920943015766,24.09515589186924,5.01426061591083,-26.498680773344926,-39.99915617806835,1.512988258739121,-0.16530801675145312,-4.984302132274049,39.997752429244386,42248.3406562309,25710.427157843616,67958.76781407453,77241.22686309494,102951.65402093856,102951.65402093856,-177.71188691999123,131086.9042240756,91414.70081556441,56421.81460870063,38880.98467429309,28135.250203137046,21029.813541839336,1533.0,103129.36590785855,354873.0425178799,1555776.8931286212,4.384037970565868,1554436.3214474195,4.380260361335,0.7474542927467742,0.09547737736163814,4.027444934045972,1.266735077169724,0.5,49.53814192213652,4.027444934045972,1.284660536842309,1.2849604352653028,3.135026583711692,19293.248440561496,1967.363823585169,0.0002334335041722141,7.886320759355485e-05,0.00015457029657865926,0.0006225233579097047,0.09547737740255077,0.09547737736163824,0.5022717645010776,4.818994115522571,28135.250203137046,21029.813541839336,0.7474542924481272,1.0140642478403665,0.630419490642847,42257.71455919335,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.71455919335,25750.0,,,,,,,,,,,,,,,,,11.0,15415.663181390977,1533.0,0.5022717645010776,6.274091197953397
2.0,-29.99990896532278,5.000615488708036,34.99994512254901,24.09525818601253,5.014242699188384,-26.498641199801632,-39.9991839431226,1.5129749336284375,-0.23271420973247814,-4.986069636422127,39.99928088551789,42248.756049551695,25715.714197210167,67964.47024676186,77241.9127663185,102957.62696352867,102957.62696352867,-194.2229160065326,131102.87081036318,91415.40471089173,56422.24799396776,38881.285241026635,28145.243846834514,21037.2832795985,1533.5735936621911,103151.8498795352,354848.59826954023,1556537.0987499154,4.3864823091891765,1554502.2220114563,4.380747816370599,0.7474542908237961,0.09549868603500715,4.027455320225988,1.2667365530738608,0.5,49.53814192213652,4.027455320225988,1.2846605969512699,1.284960496766854,3.1350345217903173,19293.347244358236,1967.3738987685128,0.0002334345772075585,7.886295980573555e-05,0.00015457161740182297,0.0006225302828609078,0.09553677778229085,0.09549868625144184,0.5022560828349245,4.753355426689666,28145.243846834514,21037.2832795985,0.7474542924481272,1.0139935809248188,0.6303288656670596,42257.71455919335,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514949821649115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.71455919335,25750.0,,,,,,,,,,,,,,,,,3.0,15415.700003563092,1533.5735936621911,0.5022560828349245,6.272961169323491
3.0,-29.99986495866078,5.00089800282719,34.99993714402674,24.09527173675599,5.014258574964971,-26.49859392422844,-39.99913501376284,1.5129875404999866,-0.23501466277343752,-4.985936290642703,39.99925708760635,42248.74070432288,25716.098305684976,67964.83901000785,77241.89848327453,102957.99678895951,102957.99678895951,-194.79119862911466,131103.34031972737,91415.40276524906,56422.244986165344,38881.28642120413,28145.343530767845,21037.35784086106,1533.5760420375575,103152.78798758863,354850.44237038615,1556556.0224941033,4.386512842132516,1554501.1959300716,4.380722158738393,0.7474542926741505,0.09549955734303313,4.027455057808471,1.2667364849383014,0.5,49.53814192213652,4.027455057808471,1.2846605357784584,1.2849604369533771,3.1350344668040857,19293.348090827276,1967.3739850843333,0.0002334356463957439,7.886339647381003e-05,0.00015457224992193385,0.0006225327897449275,0.0955349688852247,0.09549955734460713,0.5022394347509566,4.750921627869275,28145.343530767845,21037.35784086106,0.7474542924481272,1.013997556772706,0.6303276881829845,42257.71455919335,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514947175727906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.71455919335,25750.0,,,,,,,,,,,,,,,,,2.0,15415.69974794997,1533.5760420375575,0.5022394347509566,6.273723399920016
4.0,-29.999829413412083,5.001142733981282,34.999918022748524,24.092764499969803,5.01149674941678,-26.498808779159774,-39.99945328161118,1.510476115164491,-0.17623074908340186,-4.987452319031949,39.9989089201937,42250.60550859965,25720.632261509072,67971.23777010872,77243.64221722793,102964.274478737,102964.274478737,-180.3400167531072,131108.81681278683,91416.26369894133,56423.22699031291,38881.15189847602,28144.542334049824,21036.75896966261,1533.5798456408352,103144.61449549011,354829.4769514914,1556023.287384031,4.385270639724091,1554486.1842469291,4.380938690895296,0.7474542922025746,0.09549169183594258,4.02749223427232,1.266739207613282,0.5,49.53814192213652,4.02749223427232,1.284672280603532,1.2849721856297711,3.1350347439428106,19293.351699817616,1967.3743530989295,0.00023343651000827835,7.88605561453995e-05,0.00015457595386287885,0.000622553453787981,0.09549169178988239,0.09549169183594258,0.5022258042036049,4.811221569948543,28144.542334049824,21036.75896966261,0.7474542924481272,1.01410718006594,0.6303643101707184,42257.71455919335,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45149445393052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.71455919335,25750.0,,,,,,,,,,,,,,,,,12.0,15415.701034380021,1533.5798456408352,0.5022258042036049,6.273709437318709
5.0,-29.981165716549423,4.970617045170916,34.99981704756593,24.08666160134601,5.002757828984787,-26.482816679950574,-39.98422172209246,1.5044087923859053,-0.07548289162741639,-4.997926962432781,39.996347965865915,42269.05702548052,25669.00081957952,67938.05784506004,77255.99590974643,102924.99672932595,102924.99672932595,-155.3174072678521,131061.54032495787,91418.11084810781,56431.17196384168,38874.37653807348,28136.54359563192,21030.780285895053,1533.4719274521115,103080.3141365938,354684.64785441133,1555120.582518864,4.384516194671047,1554375.7687936148,4.38241626243616,0.7474542924725123,0.09543003416980637,4.027576574268793,1.2667451826622713,0.5,49.53814192213652,4.027576574268793,1.2846997228275725,1.2850002173677402,3.135033426647169,19293.337516493786,1967.3729068024031,0.0002338903726595358,7.899659375348061e-05,0.00015489377890605518,0.0006238465554219976,0.09543003423366432,0.09543003416980646,0.5022183919099615,4.922444070805341,28136.54359563192,21030.780285895053,0.7474542924481272,1.0138356212615012,0.6307786393791044,42257.71455919335,25750.0,0.0,3744.0818376643774,-3744.0818376643774,0.06653649437415211,0.06653649437415211,2963.8540088079058,780.2278288564719,3744.0818376643774,0.03162689956986402,0.05040643513193342,1.4514617086589774,1.451494240980327,1.2663411617145184,0.00023343651000827835,0.0035009015654809054,1.0,1.0,10.0,46001.79639685773,22005.918162335623,,,,,,,,,,,,,,,,,42.0,15415.69492382127,1533.4719274521115,0.5022183919099615,6.273532322835142
6.0,-29.944200722883448,4.9101573720567435,34.99959124975629,24.07744936589154,4.987616230758026,-26.450879348323255,-39.954263787344075,1.4942948561978147,0.12059456222749532,-5.017122844295054,39.99117190070873,42307.13002742693,25562.746557105875,67869.8765845328,77284.49606825622,102847.2426253621,102847.2426253621,-106.7823972239712,130966.23604437007,91427.08076721897,56449.71472638957,38863.740045366,28118.99341900798,21017.66233217086,1533.1229834857172,102954.02502258607,354419.3537650068,1553331.2862053802,4.382749614839873,1554152.6210285998,4.385067024469157,0.7474542925125928,0.09530901322772409,4.027804213700561,1.2667675465112551,0.5,49.53814192213652,4.027804213700561,1.2847451715106415,1.285046834699193,3.1350997092789608,19294.140064652493,1967.4547439393161,0.00023479168566883595,7.926479020860942e-05,0.00015552689546022655,0.0006264318848784672,0.09530901321439329,0.09530901322772437,0.5022190837211455,5.13771740652254,28118.99341900798,21017.66233217086,0.7474542924481272,1.013244355287929,0.6316124744286342,42257.71455919335,25750.0,0.0,7442.414216594773,-7442.414216594773,0.13245931245553222,0.13245931245553222,5892.752993618766,1549.6612229760076,7442.414216594773,0.12954447752636647,0.1003479639814638,1.451361127411564,1.4513824357435083,1.2664858634199057,0.0002338903726595358,0.0034934135758814986,1.0,1.0,10.0,49700.12877578812,18307.585783405226,,,,,,,,,,,,,,,,,17.0,15416.002348403112,1533.1229834857172,0.5022190837211455,6.272241701131989
7.0,-29.889508857816498,4.821003337495024,34.99921029658716,24.065437365230196,4.966495852128542,-26.40347902802314,-39.91001400919629,1.4804660223351853,0.41001814211892906,-5.044522147087867,39.98342447133699,42364.097570624705,25403.728122800945,67767.82569342565,77328.51831510208,102732.24643790303,102732.24643790303,-35.49458655703347,130824.07677614425,91442.88801365043,56478.46726917305,38849.356382752645,28091.83033824123,20997.359172359076,1532.5145676079264,102767.74102446006,354040.95520229597,1550675.7591786603,4.379933271540908,1553818.6632211327,4.3888105045171795,0.7474542925661738,0.09513055880177754,4.02816654314917,1.2668054463667797,0.5,49.53814192213652,4.02816654314917,1.2848070980898243,1.2851104967997942,3.135230610990561,19295.740128668393,1967.6179050611977,0.00023613110169989115,7.966247368512851e-05,0.00015646862801476264,0.0006302816924215198,0.09513055880712613,0.09513055880177732,0.5022326453818401,5.454540289206818,28091.83033824123,20997.359172359076,0.7474542924481272,1.0123487349556133,0.6328554907040304,42257.71455919335,25750.0,0.0,11044.75602460539,-11044.75602460539,0.1971616843318509,0.1971616843318509,8748.715729352487,2296.0402952529043,11044.75602460539,0.2928483736335399,0.14936491237261432,1.451193842056938,1.4511610447701875,1.2667725240394057,0.00023479168566883595,0.0034786248153846782,1.0,1.0,10.0,53302.47058379874,14705.24397539461,,,,,,,,,,,,,,,,,36.0,15416.609293478672,1532.5145676079264,0.5022326453818401,6.269629146055364
8.0,-29.81789123554671,4.704753657154837,34.99865028833598,24.050798545964085,4.9397161031393395,-26.341309733858214,-39.85210993615908,1.463134601450827,0.7901858510825264,-5.079711041497674,39.97324531593176,42439.15514660904,25194.99659903022,67634.15174563926,77387.38570662368,102582.3823056539,102582.3823056539,57.53218285278126,130637.97223825283,91465.26719001684,56517.03663000197,38831.36728890541,28055.58993259893,20970.271119775825,1531.6623070965534,102524.85012280112,353555.4435053654,1547192.338083804,4.37609536638438,1553379.966782644,4.393596521613365,0.7474542923586723,0.09489792852350185,4.028658917711348,1.2668584668217227,0.5,49.53814192213652,4.028658917711348,1.2848845409288958,1.2851902253213159,3.135424848989828,19298.10358720588,1967.8589107601351,0.00023789567799172145,8.018565785468959e-05,0.00015771002013703186,0.0006353598790374897,0.09489792857095246,0.09489792852350204,0.5022628071102163,5.869896892580186,28055.58993259893,20970.271119775825,0.7474542924481272,1.0111710048591462,0.6344907424337841,42257.71455919335,25750.0,0.0,14504.965041792168,-14504.965041792168,0.26007834621104137,0.26007834621104137,11496.744020022525,3008.2210217696434,14504.965041792168,0.5200456823751931,0.19702905015987981,1.4509620525648237,1.4508336021571115,1.267195385614693,0.00023613110169989115,0.003456918944189513,1.0,1.0,10.0,56762.67960098552,11245.034958207832,,,,,,,,,,,,,,,,,12.0,15417.509450385245,1531.6623070965534,0.5022628071102163,6.265709388234319
9.0,-29.73034776122143,4.563302501141783,34.99789803952795,24.033361428324156,4.907207081387084,-26.26528027166414,-39.78142639445139,1.4421395918298132,1.258741628043765,-5.122706744283395,39.96096238810051,42531.68461031621,24941.473806969836,67473.15841728605,77460.6894563846,102402.16326335444,102402.16326335444,171.27095998000004,130414.27000372607,91494.17009790763,56565.16525183925,38810.00538452042,28012.106740371622,20937.76942840665,1530.6623070965534,102230.89230337444,352962.92839825014,1542941.337786174,4.371397712468161,1552850.727591787,4.39947258664994,0.7474542926195089,0.094616415822884,4.029281088742805,1.2669263803912325,0.5,49.53814192213652,4.029281088742805,1.2849782929617601,1.2852867926648865,3.135680276322546,19301.220954899145,1968.176793797999,0.0002400691473474864,8.082861404172441e-05,0.000159240533305762,0.0006416248694102256,0.09461641588935056,0.09461641582288409,0.5023124378203814,6.3814483723271564,28012.106740371622,20937.76942840665,0.7474542924481272,1.009742976863365,0.6364911742212448,42257.71455919335,25750.0,0.0,17782.664914596688,-17782.664914596688,0.3207026918966012,0.3207026918966012,14106.047153403953,3676.6177611927324,17782.664914596688,0.8091048872372879,0.24295658477015245,1.4506687249134975,1.4504050374883717,1.267747034038952,0.00023789567799172145,0.0034287973862538058,1.0,1.0,10.0,60040.37947379004,7967.335085403312,,,,,,,,,,,,,,,,,13.0,15418.692343868446,1530.6623070965534,0.5023124378203814,6.26054549196485
