time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_useful_w,q_cascade_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_pressure_ratio,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,humidity_ratio_room_kg_kg_da,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,compressor_map_flow_kg_s,valve_opening,refrigerant_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_expansion_valve_opening,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_superheat_to_expansion_valve_output,pid_B4_condensing_temperature_to_sink_flow_output
0.0,-30.0,5.0,35.0,24.080418550316267,5.0,-26.5,-39.99999960707498,1.5,-4.999999999999602,-5.0,40.0,35145.97560679735,25750.0,60895.97560679735,64249.589931671224,118128.05647602715,76035.15763655418,46931.54331168033,32337.349249859835,28128.466544355942,17145.550059231573,1533.0,103036.69035428681,0.6095444283176495,0.09539103345998717,3.35013,1.26672625196632,3.3501299999996292,1.2847212910722052,1.2850212022149787,2.6076706467626467,19291.75404867007,1967.211438021146,0.0002334323654385558,7.885568077527669e-05,0.0001545766846632791,0.0005178519885909912,0.09539103345998717,0.09539103345998717,0.5022468946452655,3.979039320256561e-13,28128.466544355942,17145.550059231573,0.85,1.0071140992134389,0.5812536413369528,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,1.0,1.0,1.0,0.0,15000.0,30305.74552684194,3594.530645962312,16376.02585827684,0.5022468946452655,35145.97560679735,35145.97560679735,5.652060118470199,0.0,,,,
0.2,-30.000000752855644,4.999993126973516,35.00000158359124,24.079066479485505,4.998479766481396,-26.500152701028615,-40.00021844459695,1.4986317146543386,-5.0016083549251675,-5.001608354925553,40.00023547085789,35146.72845213691,25754.123815890103,60900.85226802701,64250.156134870296,118132.05286224946,76035.21218350307,46931.78450076949,32337.141869703973,28127.77291148906,17147.385642733454,1533.0,103027.19242970433,0.6096247184834687,0.09538218678002777,3.35013,1.2667279696417975,3.3501299999998606,1.2847276915253156,1.2850276041387392,2.6076576554697746,19291.767888403618,1967.2128492812142,0.00023343234714733307,7.885372796274323e-05,0.00015457861918458983,0.0005178584694888699,0.09538218678002791,0.0953821867800276,0.5021867613119322,3.979039320256561e-13,28127.77291148906,17147.385642733454,0.85,1.0072097593854474,0.5812747537861234,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,9.0,15000.0,1533.0,0.5021867613119322,5.652060118470199
0.4,-30.000001998721654,4.999981528701151,35.00000281210029,24.07811921965333,4.997424005434021,-26.500259398589126,-40.00036254348231,1.4976814053015248,-5.002720981364064,-5.002720981364384,40.000330386503975,35147.2214720906,25756.958963418754,60904.18043550935,64250.52150146445,118133.65760053365,76035.2224614125,46931.92243203876,32337.00003263749,28126.17713565045,17148.629167166357,1532.9391230933218,103017.06536431584,0.609703518699317,0.09537274463140623,3.35013,1.2667290109070022,3.3501299999980563,1.2847321368783624,1.2850320504906394,2.607648632609233,19291.770496130186,1967.2131151953201,0.00023343231687803843,7.885244211027712e-05,0.0001545798747677613,0.0005178626758557201,0.09537274463140605,0.09537274463140619,0.5021288999785989,3.410605131648481e-13,28126.17713565045,17148.629167166357,0.85,1.00729374948316,0.5812996127256906,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952674687707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,17.0,14999.995615954977,1532.9391230933218,0.5021288999785989,5.652177984716285
0.6000000000000001,-30.000003778358163,4.999964909621241,35.00000448583321,24.07712439252066,4.996303420834419,-26.50037305897392,-40.000519005674846,1.4966727014502175,-5.003907497347825,-5.003907497348158,40.00045747186607,35147.75524405459,25759.971447946205,60907.7266920008,64250.94504309847,118135.80589535982,76035.26926549396,46932.079466450254,32336.877554493007,28124.889404315138,17149.96951099305,1532.8967781627794,103007.58472423244,0.6097790915530417,0.0953639077677778,3.35013,1.2667301856959239,3.3501300000018546,1.2847368554455398,1.2850367701037881,2.607639055266452,19291.782371331818,1967.2143261288838,0.0002334322736403763,7.8851045956987e-05,0.0001545812276833893,0.000517867208298953,0.09536390776777774,0.09536390776777776,0.5020732197652655,3.410605131648481e-13,28124.889404315138,17149.96951099305,0.85,1.0073758964652237,0.5813219992065453,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952749327141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,13.0,14999.99272187939,1532.8967781627794,0.5020732197652655,5.652225626087388
0.8,-30.00000590793069,4.999944390112819,35.00000842518558,24.07710466012361,4.9962871876281625,-26.5003841067698,-40.00052819084374,1.496665386470337,-5.004836854588689,-5.004836854589031,40.00087594381109,35147.77932327755,25762.311705107262,60910.09102838481,64250.933208114526,118137.03462776262,76035.22739899304,46932.073514166404,32336.83764980737,28123.789714540835,17151.09610643838,1532.851790486388,102999.14304686493,0.6098429934416255,0.09535618414626046,3.35013,1.2667301219562068,3.3501299999990506,1.2847368897702485,1.2850368043700344,2.6076389855973616,19291.771748900515,1967.2132429423418,0.00023343222190075588,7.885096399601918e-05,0.0001545812579047367,0.0005178673095443955,0.09535618413841591,0.09535618421193984,0.5020196334271322,3.410605131648481e-13,28123.789714540835,17151.09610643838,0.85,1.0074339894180728,0.5813333545394722,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952855944603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,3.0,14999.989575322252,1532.851790486388,0.5020196334271322,5.652289422919472
1.0,-30.00000590793069,4.999944390112819,35.00000842518558,24.07710466012361,4.9962871876281625,-26.5003841067698,-40.00052819084374,1.496665386470337,-5.004836854588689,-5.004836854589031,40.00087594381109,35147.77932327755,25762.311705107262,60910.09102838481,64250.933208114526,118137.02004498064,76035.22739899304,46932.073514166404,32336.83764980737,28123.775131758855,17151.09610643838,1532.8509761442544,102999.09458049896,0.6098433096583273,0.09535618414626046,3.35013,1.2667301219562068,3.350129999999343,1.2847368897702485,1.2850368043700344,2.6076389855973616,19291.771748900515,1967.2132429423418,0.00023343222190075588,7.885096399601918e-05,0.0001545812579047367,0.0005178673095443955,0.09534638748703476,0.09535613934197698,0.5019680572091908,3.410605131648481e-13,28123.775131758855,17151.09610643838,0.85,1.0074342324058554,0.5813334947540214,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952983526614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,3.0,14999.989373999415,1532.8509761442544,0.5019680572091908,5.652499145527432
1.2000000000000002,-30.000009443533955,4.999911630782056,35.00001116730871,24.073925788421207,4.9927009554694814,-26.500738404970736,-40.00103351483119,1.493429916906299,-5.007721611337047,-5.007721611337403,40.00096359685991,35149.511209840646,25769.655598457608,60919.16680829825,64252.30491671939,118144.36147642926,76035.41798106598,46932.62427418715,32336.437452087597,28122.40096125226,17154.31678936538,1532.850811130371,102982.38158517481,0.6099876327416363,0.09534042525655037,3.35013,1.2667341925064104,3.350129999999796,1.2847520249432307,1.2850519429658716,2.6076082659982824,19291.820103669434,1967.2181737565259,0.00023343213600054695,7.884645501761713e-05,0.00015458568098292982,0.0005178821274313427,0.09534042525655038,0.09534042525655047,0.5019184107066338,3.410605131648481e-13,28122.40096125226,17154.31678936538,0.85,1.0076139139791482,0.581379201656728,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952983526614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,19.0,14999.989356379956,1532.850811130371,0.5019184107066338,5.652499632162882
1.4000000000000001,-30.000012929624514,4.99987811851755,35.000013151450226,24.073894565831893,4.992698629711391,-26.500742475731656,-40.00102282790465,1.4934281758207792,-5.007930564479011,-5.00793056447933,40.00091077721034,35149.461697356805,25770.10735871697,60919.56905607377,64252.20751613309,118142.0196039953,76035.31860986189,46932.57279109307,32336.384243076463,28119.704729145247,17154.50184407042,1532.7070374420448,102972.67432812389,0.6100527018084326,0.09533139517742723,3.35013,1.2667338622687385,3.350130000000034,1.2847520332627325,1.2850519511784948,2.6076082491125328,19291.794891058737,1967.2156027857359,0.00023343205130331522,7.88465503740126e-05,0.00015458550092930262,0.0005178815242282846,0.09533139517686369,0.09533139518115749,0.5018706167308458,3.410605131648481e-13,28119.704729145247,17154.50184407042,0.85,1.0076663921158548,0.5814048228211923,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514953195343485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,2.0,14999.979215436615,1532.7070374420448,0.5018706167308458,5.652543994018882
1.6,-30.00001711278183,4.999839304980284,35.000016016653355,24.072651215270184,4.991289605169634,-26.500886443409673,-40.00122909257186,1.492158935797485,-5.00920462603267,-5.009204626032999,40.001013987905196,35150.158760346494,25773.28812235921,60923.4468827057,64252.76540577463,118145.16952576056,76035.40580017157,46932.799154743334,32336.22960603138,28119.115997626723,17155.935979892925,1532.706619906375,102965.2103556722,0.6101164766823004,0.09532440654978112,3.35013,1.2667354656523093,3.3501300000012155,1.2847579708665762,1.285057890037857,2.6075961978584337,19291.81701311467,1967.217858607646,0.00023343194967035183,7.884470995207726e-05,0.00015458723971827456,0.0005178873493973832,0.09532440654978121,0.09532440654978104,0.5018246011807559,3.410605131648481e-13,28119.115997626723,17155.935979892925,0.85,1.0077429261940944,0.5814235020801798,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514953404194078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,47.0,14999.979395067785,1532.706619906375,0.5018246011807559,5.652518090181437
1.8,-30.000021632660015,4.9997973119283,35.00001872609371,24.07197559894996,4.990543642823106,-26.500965108174576,-40.00133131686596,1.4914871183376386,-5.009987476883168,-5.009987476883578,40.00106053601394,35150.495484717794,25775.195831190584,60925.69131590838,64253.00236388509,118145.93446689683,76035.39308743588,46932.88620826847,32336.11875463045,28117.73627182115,17156.79420055111,1532.6498717960458,102957.27949854889,0.6101769372431732,0.09531700864755947,3.35013,1.266736193164252,3.3501300000019247,1.2847611138189499,1.2850610335828427,2.60758981881211,19291.81378762033,1967.2175296987584,0.00023343183985654624,7.884379785792281e-05,0.00015458804199862343,0.0005178900371408484,0.09531700864755947,0.09531700864755963,0.5017802929193362,3.979039320256561e-13,28117.73627182115,17156.79420055111,0.85,1.0078048999398024,0.5814434078577402,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514953654805722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,14.0,14999.97522879159,1532.6498717960458,0.5017802929193362,5.652570258855477
