time_s,room_k,dock_k,sink_k,t2_k,t3_k,t4_k,t5_k,t6_k,tevap_k,tcond_k,q_room_w,q_dock_w,q_cascade_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,m_ref_kg_s,cop_system,base_room_load_w,base_dock_load_w,infiltration_room_w,infiltration_dock_w,load_w,dock_load_w,newton_iterations,pid_B1_room_to_air_compressor_output,pid_B3_sink_to_condenser_output,pid_VC5_dock_to_dock_evaporator_output,pid_VC4_expansion_valve_output,pid_B4_cascade_hx_outlet_output
0.0,228.15,279.15,303.15,249.0366120674765,285.0,260.0,245.07169973800433,220.0,268.15,308.15,10247.606011577009,16500.0,31445.672361413745,27339.602105912654,26139.498790491125,18656.891651283804,12000.0,5182.275077482909,0.02,0.5964056543947622,7000.0,3000.0,0.0,-0.0,7000.0,3000.0,,,,,,
5.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,6965.193653661263,1499.9999999999147,8861.50277711131,15022.298489674045,26948.01079343444,20550.01812777773,12000.0,1786.3550441470954,0.011908180177523167,0.5052237252962877,7000.0,3000.0,0.0,-0.0,7000.0,3000.0,21.0,1.25,6500.0,1500.0,3.0,5200.0
10.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7552.66224560468,1853.9224092905304,9608.912657988893,15014.98483119098,29220.899494550926,22283.277935649887,12000.0,1784.820849131123,0.011908180177523167,0.5478970186312385,7000.0,3000.0,0.0,-0.0,7000.0,3000.0,1.0,1.355429335700274,6890.187521277944,1853.9224092906356,2.8291155181418723,5133.62252598625
15.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7553.639730782623,1854.2759781309803,9610.156268439603,15014.977520986069,29224.681339311523,22286.161895396763,12000.0,1784.8193157057192,0.011908180177523167,0.5479679898434644,7000.0,3000.0,0.0,-0.0,7000.0,3000.0,1.0,1.3556047588877953,6890.512406807735,1854.2759781310858,2.8289448043737826,5133.581065977497
20.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7554.617215960566,1854.6295469714305,9611.399878890315,15014.970210773428,29228.463184072116,22289.04585514364,12000.0,1784.8177822787657,0.011908180177523167,0.5480389610715415,7000.0,3000.0,0.0,-0.0,7000.0,3000.0,1.0,1.3557801820753166,6890.837292337525,1854.629546971536,2.8287740906056924,5133.539605968745
25.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7555.594701138507,1854.9831158118807,9612.643489341026,15014.962900553086,29232.245028832705,22291.92981489051,12000.0,1784.8162488502956,0.011908180177523167,0.5481099323154686,7000.0,3000.0,0.0,-0.0,7000.0,3000.0,1.0,1.3559556052628376,6891.162177867315,1854.9831158119862,2.828603376837602,5133.498145959991
30.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7556.572186316449,1855.3366846523309,9613.887099791737,15014.95559032504,29236.0268735933,22294.813774637387,12000.0,1784.8147154202948,0.011908180177523167,0.5481809035752463,7000.0,3000.0,0.0,-0.0,7000.0,3000.0,1.0,1.356131028450359,6891.487063397105,1855.3366846524364,2.8284326630695125,5133.456685951238
35.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7557.549671494392,1855.690253492781,9615.130710242449,15014.948280089287,29239.808718353892,22297.697734384263,12000.0,1784.8131819887749,0.011908180177523167,0.5482518748508743,7000.0,3000.0,0.0,-0.0,7000.0,3000.0,1.0,1.3563064516378802,6891.811948926895,1855.6902534928865,2.8282619493014223,5133.4152259424845
40.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7558.527156672335,1856.0438223332312,9616.374320693161,15014.940969845817,29243.590563114485,22300.58169413114,12000.0,1784.8116485557105,0.011908180177523167,0.5483228461423535,7000.0,3000.0,0.0,-0.0,7000.0,3000.0,1.0,1.3564818748254015,6892.136834456685,1856.0438223333367,2.828091235533332,5133.373765933732
45.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7559.504641850277,1856.3973911736814,9617.617931143872,15014.933659594675,29247.37240787508,22303.465653878015,12000.0,1784.8101151211572,0.011908180177523167,0.5483938174496816,7000.0,3000.0,0.0,-0.0,7000.0,3000.0,1.0,1.3566572980129228,6892.461719986475,1856.397391173787,2.8279205217652423,5133.332305924979
