time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_dock_external_w,q_useful_w,q_cascade_w,q_cascade_refrigerant_w,q_dock_refrigerant_w,q_evap_total_w,q_evap_load_requested_w,q_map_capacity_balance_error_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_dock_fan_w,w_total_input_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_compressor_volumetric_efficiency,refrigerant_compressor_suction_density_kg_m3,refrigerant_compressor_displacement_m3_per_rev,refrigerant_evaporating_pressure_pa,refrigerant_condensing_pressure_pa,refrigerant_pressure_ratio,refrigerant_condensing_pressure_from_tcond_pa,refrigerant_pressure_ratio_from_tcond,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_pressure_ratio,air_damper_opening,air_damper_resistance_head_coefficient,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,dock_evaporator_ua_w_k,dock_evaporator_ua_ref_w_k,dock_evaporator_lmtd_k,dock_evaporator_air_inlet_c,dock_evaporator_air_outlet_c,dock_evaporator_air_delta_t_k,dock_air_m_dot_kg_s,dock_fan_m_dot_kg_s,dock_air_flow_ratio,dock_fan_power_w,dock_fan_heat_w,humidity_ratio_room_kg_kg_da,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,cascade_valve_flow_kg_s,dock_valve_flow_kg_s,compressor_map_flow_kg_s,m_ref_cascade_kg_s,m_ref_dock_kg_s,valve_opening,cascade_valve_opening,dock_valve_opening,refrigerant_subcooling_k,refrigerant_superheat_k,refrigerant_cascade_superheat_k,refrigerant_dock_superheat_k,refrigerant_raw_superheat_k,refrigerant_raw_cascade_superheat_k,refrigerant_raw_dock_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,infiltration_effective_volume_m3,infiltration_maximum_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_fixed_m_dot_kg_s,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_compressor_displacement_m3_per_rev,startup_solved_vcc_cycle_compressor_eta_is,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_dock_evaporator_ua_w_k,startup_solved_vcc_cycle_expansion_valves_cascade_opening,startup_solved_vcc_cycle_expansion_valves_dock_opening,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_cascade_superheat_to_cascade_expansion_valve_output,pid_B3_dock_superheat_to_dock_expansion_valve_output,pid_B4_subcooling_to_sink_flow_output,pid_B5_loading_dock_temperature_to_dock_air_flow_output
5320.0,-30.044465807874456,5.001250420040213,35.00164985151369,24.087931180279725,4.998527227471718,-26.54017279585632,-40.04652238273991,1.494234215453869,-0.013170454654641617,-5.005229210355066,40.00328262387425,42254.27470010801,25750.101122182095,25750.101122182095,68004.37582229011,77279.15277779431,77279.15277779431,25750.101122182095,103029.25389997641,103029.25389997641,103029.25389997641,127800.93104637442,91465.49381794139,56440.615740256115,38916.53119742808,24771.677146398015,0.0,63688.20834382609,21055.92557443831,1533.8003719365954,0.0,0.8868802221370546,2.816314227979441,0.0014959135982669303,354583.70976557484,1554674.7700299232,4.384507035187155,1554674.7700299232,4.384507035187155,0.85,0.09551472130278547,4.027634451161993,1.2669025906408207,1.0,0.0,4.027634451160881,1.2847504881119474,1.285049020996716,3.134954598912784,19303.060068626673,1968.364331206546,4632.441516551485,4632.441516551485,5.558645701230823,5.001250420040213,-2.3284193677453473,7.32966978778556,3.4956542256579968,3.4956542256579968,0.9987583501879991,0.0,0.0,0.00023235433371044252,7.844153546857907e-05,0.00015391279824186345,0.0006199044886736742,0.09551472130279302,0.0716433061599642,0.02387141514282882,0.09551469157991291,0.07164330615995854,0.023871415142826934,0.3771446397109355,0.3771446397109355,0.125663886076539,0.0,4.991979696166538,4.988573767610831,5.00220192979782,4.992058755700441,4.988657342562078,5.002267436784052,24771.677146398015,21055.92557443831,0.85,1.067770276330633,0.6634552266252302,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4517618057281496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.605123430429,1533.8003719365954,0.3771446397109355,0.125663886076539,6.112874298809886,3.4956542256579968
5321.0,-30.044448638766596,5.00124959236277,35.001649197935684,24.087920353654795,4.998527501273831,-26.540157313824327,-40.046501078736014,1.4942361763318208,-0.013297565966126967,-5.005226620547176,40.003280666173424,42254.26046574345,25750.09932129319,25750.09932129319,68004.35978703664,77279.10774626982,77279.10774626982,25750.09932129319,103029.20706756301,103029.20706756301,103029.20706756301,127800.8752561858,91465.44196757443,56440.594687049095,38916.49697836148,24771.66818862278,0.0,63688.16516698426,21055.917960329363,1533.7998135593132,0.0,0.8868802423960798,2.816316200052977,0.0014959135982669303,354583.7455601798,1554674.6856137174,4.384506354507608,1554674.6856137174,4.384506354507608,0.85,0.09551470617813161,4.027634451161993,1.2669024703046308,1.0,0.0,4.02763445116264,1.2847504780815193,1.285049011497622,3.134954623388304,19303.049126021917,1968.3632153713977,4632.441516551485,4632.441516551485,5.558645312474935,5.00124959236277,-2.3284158430994624,7.329665435462232,3.4956560568859416,3.4956560568859416,0.9987588733959833,0.0,0.0,0.00023235474907267806,7.844172465555163e-05,0.00015391302441712643,0.0006199053996249554,0.09551470617816177,0.07164329200029494,0.02387141417786683,0.09551472587223092,0.07164329200027232,0.023871414177859294,0.37714460294946367,0.37714460294946367,0.12566389358429703,0.0,4.99196858357476,4.988556076551561,5.00221056017574,4.991929054581021,4.988490235051415,5.002250005408428,24771.66818862278,21055.917960329363,0.85,1.0677707484386734,0.6634554529080376,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4517617028908982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.603984424102,1533.7998135593132,0.37714460294946367,0.12566389358429703,6.112874298809886,3.4956560568859416
5322.0,-30.04443147244396,5.001248793240989,35.001648549614316,24.087919655162864,4.998529987974564,-26.54014161302768,-40.046483476739354,1.4942401285585214,-0.013306072354225762,-5.005223365771595,40.00327951212996,42254.26176958068,25750.095894613718,25750.095894613718,68004.3576641944,77279.09491533533,77279.09491533533,25750.095894613718,103029.19080994904,103029.19080994904,103029.19080994904,127800.85447901234,91465.42321469035,56440.59006893673,38916.48127305957,24771.663669063295,0.0,63688.14494212287,21055.9141187038,1533.7994972894585,0.0,0.8868802631287706,2.8163166917421525,0.0014959135982669303,354583.79054552945,1554674.6358512808,4.384505657913476,1554674.6358512808,4.384505657913476,0.85,0.09551469291892498,4.027634451161993,1.2669024065649137,1.0,0.0,4.027634451161006,1.2847504587359553,1.2850489926811415,3.134954670593942,19303.04516837589,1968.362811803816,4632.441516551485,4632.441516551485,5.558644572761447,5.001248793240989,-2.328411820579996,7.329660613820985,3.4956578912366467,3.4956578912366467,0.9987593974961848,0.0,0.0,0.00023235516436821422,7.844188096773029e-05,0.00015391328340048395,0.0006199064427152485,0.09551469291894428,0.07164327910646873,0.023871413812475557,0.09551472508545478,0.07164327910645424,0.02387141381247073,0.37714456484954034,0.37714456484954034,0.12566390158203292,0.0,4.99195708847742,4.988542090077999,5.00220654099212,4.991917293417373,4.9884923308915745,5.002196652204702,24771.663669063295,21055.9141187038,0.85,1.067771054189032,0.663455684067727,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451761599995262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.602846184967,1533.7994972894585,0.37714456484954034,0.12566390158203292,6.112874298809886,3.4956578912366467
5323.0,-30.044414320715322,5.001247983990066,35.001647907505145,24.087924614455574,4.998530041265843,-26.540126168729373,-40.046469716448314,1.4942418892801095,-0.013171136367986946,-5.005221914338768,40.00327839643079,42254.27884961152,25750.09711011075,25750.09711011075,68004.37595972227,77279.11479189694,77279.11479189694,25750.09711011075,103029.2119020077,103029.2119020077,103029.2119020077,127800.87183813084,91465.43618999813,56440.600247713504,38916.48438031625,24771.659936123142,0.0,63688.14431643939,21055.91094570467,1533.799270088149,0.0,0.8868802745497905,2.8163150886383286,0.0014959135982669303,354583.81060627283,1554674.587742254,4.384505274180587,1554674.587742254,4.384505274180587,0.85,0.09551468154186733,4.027634451161993,1.2669023785414173,1.0,0.0,4.0276344511639435,1.2847504496426994,1.2850489841188988,3.1349546927826446,19303.0479067107,1968.3630910362563,4632.441516551485,4632.441516551485,5.558644835149441,5.001247983990066,-2.3284091144008974,7.329657098390963,3.4956597328221806,3.4956597328221806,0.9987599236634802,0.0,0.0,0.00023235557931137034,7.844200316435553e-05,0.0001539135761470148,0.0006199076217912615,0.0955146815418847,0.07164326763635184,0.02387141390553285,0.0955146577980127,0.07164326763633883,0.02387141390552851,0.37714452589180664,0.37714452589180664,0.12566390921009793,0.0,4.991975274902927,4.988566152541523,5.002207089434648,4.992050777970803,4.988665161314259,5.002212042653639,24771.659936123142,21055.91094570467,0.85,1.0677713519464054,0.6634559587678974,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451761497116332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.60170846234,1533.799270088149,0.37714452589180664,0.12566390921009793,6.112874298809886,3.4956597328221806
5324.0,-30.04439716436081,5.001247213967135,35.00164727164839,24.087918502651178,4.99853333277823,-26.540110396418378,-40.04644834259523,1.4942465648360446,-0.013285430809844456,-5.005218128575079,40.00327729432734,42254.26438433196,25750.092402751645,25750.092402751645,68004.35678708361,77279.07689526021,77279.07689526021,25750.092402751645,103029.16929801185,103029.16929801185,103029.16929801185,127800.82482862711,91465.39270126873,56440.580190341534,38916.45834547467,24771.65553061526,0.0,63688.11387608993,21055.90720102297,1533.7989455623035,0.0,0.8868802977954096,2.8163170319588677,0.0014959135982669303,354583.86293059716,1554674.540219476,4.384504493155045,1554674.540219476,4.384504493155045,0.85,0.09551466794593182,4.027634451161993,1.2669023027131332,1.0,0.0,4.027634451161807,1.2847504269139907,1.2850489619181795,3.134954748243589,19303.038728762593,1968.3621551460074,4632.441516551485,4632.441516551485,5.558643818977064,5.001247213967135,-2.328404692281883,7.329651906249017,3.495661570020221,3.495661570020221,0.998760448577206,0.0,0.0,0.0002323559943671211,7.844219297266018e-05,0.00015391380139446093,0.0006199085290056356,0.09551466794595062,0.07164325458151402,0.023871413364436597,0.09551470599946896,0.07164325458149992,0.0238714133644319,0.37714448854680255,0.37714448854680255,0.12566391681684946,0.0,4.991965320527527,4.98855778472381,5.002192371544197,4.991932697765208,4.988531509461268,5.002140697444247,24771.65553061526,21055.90720102297,0.85,1.0677715612585303,0.6634560487462519,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4517613943248784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.600571019553,1533.7989455623035,0.37714448854680255,0.12566391681684946,6.112874298809886,3.495661570020221
5325.0,-30.044380047949762,5.001246323814107,35.001646622139425,24.087914206925802,4.998525350514734,-26.54009578750685,-40.046434687077976,1.4942410900720395,-0.013137139563241362,-5.005221878554487,40.0032756249629,42254.28182029296,25750.1068183633,25750.1068183633,68004.38863865627,77279.0918892311,77279.0918892311,25750.1068183633,103029.1987075944,103029.1987075944,103029.1987075944,127800.84903614924,91465.39755506346,56440.58748612613,38916.45563215259,24771.650328554835,0.0,63688.10596070743,21055.902779271608,1533.7987512967497,0.0,0.8868802847628582,2.816314646229423,0.0014959135982669303,354583.8111008597,1554674.4682363656,4.3845049310334865,1554674.4682363656,4.3845049310334865,0.8499999999999999,0.09551466038807388,4.027634451161993,1.266902256556787,1.0,0.0,4.027634451163397,1.2847504516691666,1.285048987211138,3.1349546878378067,19303.039753117104,1968.3622596010978,4632.441516551485,4632.441516551485,5.558646930859126,5.001246323814107,-2.328405811581253,7.32965213539536,3.4956634177032866,3.4956634177032866,0.9987609764866533,0.0,0.0,0.00023235640845721783,7.84423142392997e-05,0.00015391409421791814,0.00061990970839148,0.09551466038809459,0.07164324615864383,0.023871414229450754,0.09551461158692062,0.0716432461586283,0.02387141422944558,0.3771444505405867,0.3771444505405867,0.12566392348075828,0.0,4.991990630199211,4.988579901713024,5.002227262133431,4.992084738991252,4.988661241702118,5.002359695117889,24771.650328554835,21055.902779271608,0.85,1.0677721940830174,0.6634564049739816,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4517612915057156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.599434241165,1533.7987512967497,0.3771444505405867,0.12566392348075828,6.112874298809886,3.4956634177032866
5326.0,-30.04436289048814,5.001245576680283,35.00164596690095,24.08792293807494,4.998534701487904,-26.540079408188404,-40.04641698030753,1.4942512191884116,-0.013128415997584852,-5.0052132700542895,40.003274159061384,42254.282674146234,25750.089656058954,25750.089656058954,68004.3723302052,77279.08943867005,77279.08943867005,25750.089656058954,103029.17909472901,103029.17909472901,103029.17909472901,127800.82121856719,91465.39196526168,56440.58520073877,38916.451960581,24771.642123838174,0.0,63688.09408441917,21055.895805262448,1533.7981043063244,0.0,0.886880333856533,2.816315536552893,0.0014959135982669303,354583.9300818688,1554674.405026594,4.3845032815436396,1554674.405026594,4.3845032815436396,0.85,0.09551464061006396,4.027634451161993,1.26690222798381,1.0,0.0,4.027634451161116,1.2847504034293464,1.2850489394934153,3.1349548055491145,19303.038573434198,1968.3621393069193,4632.441516551485,4632.441516551485,5.558643226051566,5.001245576680283,-2.3283978780308114,7.3296434547110945,3.495665227863735,3.495665227863735,0.9987614936753528,0.0,0.0,0.00023235682354111716,7.844247148300136e-05,0.0001539143520581158,0.000619910746877543,0.09551464061009121,0.07164322831220864,0.023871412297882578,0.09551460677907539,0.0716432283121882,0.023871412297875767,0.3771444138492345,0.3771444138492345,0.1256639323901621,0.0,4.992006202526738,4.98860981648437,5.002199785452547,4.9920848540567135,4.988745838718103,5.002106245147729,24771.642123838174,21055.895805262448,0.85,1.0677721371291902,0.6634565420993409,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4517611889259503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.598297234455,1533.7981043063244,0.3771444138492345,0.1256639323901621,6.112874298809886,3.495665227863735
5327.0,-30.044345757241558,5.001244830005168,35.00164535025568,24.087917000893526,4.998537017669749,-26.540063754260434,-40.04639941323546,1.494255014688875,-0.013227839926059914,-5.005211247137535,40.00327397269624,42254.2838647121,25750.089601013766,25750.089601013766,68004.37346572586,77279.05611907245,77279.05611907245,25750.089601013766,103029.14572008622,103029.14572008622,103029.14572008622,127800.78926714024,91465.35266785727,56440.58041349772,38916.41361595505,24771.643547054013,0.0,63688.057163009056,21055.89701499591,1533.7981527233594,0.0,0.8868803448208278,2.8163170787451333,0.0014959135982669303,354583.9580412939,1554674.3969905174,4.384502913156224,1554674.3969905174,4.384502913156224,0.85,0.0955146323871056,4.027634451161993,1.2669021664420144,1.0,0.0,4.027634451162294,1.2847503848185755,1.285048921410875,3.134954850961769,19303.030280031668,1968.3612936152172,4632.441516551485,4632.441516551485,5.558643214169024,5.001244830005168,-2.3283947261770916,7.32963955618226,3.495667079684722,3.495667079684722,0.9987620227670634,0.0,0.0,0.00023235723803987209,7.844262748640864e-05,0.00015391461055346345,0.0006199117880023107,0.09551463238710997,0.07164321948585331,0.023871412901256658,0.09551466327803664,0.07164321948585003,0.02387141290125556,0.3771443786975834,0.3771443786975834,0.12566393933560796,0.0,4.992000874692565,4.988610059519431,5.002177735750877,4.991983407211478,4.988614876835015,5.002093382908811,24771.643547054013,21055.89701499591,0.85,1.0677727739703102,0.6634569454138413,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4517610861001802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.59716162067,1533.7981527233594,0.3771443786975834,0.12566393933560796,6.112874298809886,3.495667079684722
5328.0,-30.04432865738511,5.001243992224217,35.00164472149843,24.087912390846782,4.998531082848551,-26.540048955491493,-40.046381985861785,1.4942513809552238,-0.013127653896731317,-5.005213586797013,40.00327238661551,42254.28543146959,25750.100533714107,25750.100533714107,68004.3859651837,77279.06150914272,77279.06150914272,25750.100533714107,103029.16204285683,103029.16204285683,103029.16204285683,127800.80030321906,91465.34875335284,56440.57267568085,38916.41786407999,24771.63826036223,0.0,63688.05612444221,21055.892521307895,1533.7979202634488,0.0,0.8868803386605761,2.816315489566727,0.0014959135982669303,354583.92570405925,1554674.3285986101,4.384503120133436,1554674.3285986101,4.384503120133436,0.85,0.09551462381582762,4.027634451161993,1.2669020906137303,1.0,0.0,4.027634451161552,1.28475040096247,1.285048938090039,3.1349548115686074,19303.029453906853,1968.3612093739303,4632.441516551485,4632.441516551485,5.5586455741988905,5.001243992224217,-2.3283947953615796,7.329638787585797,3.4956689303988626,3.4956689303988626,0.9987625515425321,0.0,0.0,0.00023235765173150946,7.84427822495158e-05,0.00015391486948199365,0.0006199128308717793,0.09551462381584835,0.0716432105517942,0.023871413264054148,0.09551459424198468,0.07164321055177865,0.023871413264048964,0.3771443429975509,0.3771443429975509,0.12566394502080638,0.0,4.992018776109603,4.988627894553986,5.002195834983354,4.992085932900295,4.988694787461213,5.002263783791022,24771.63826036223,21055.892521307895,0.85,1.0677729876432036,0.6634569808333847,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4517609834195464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.596026093695,1533.7979202634488,0.3771443429975509,0.12566394502080638,6.112874298809886,3.4956689303988626
5329.0,-30.044311531740696,5.001243243164466,35.001644083726184,24.08791644209998,4.998536864911603,-26.540032961729885,-40.04636434894053,1.494258294901026,-0.013123527743687191,-5.00520749470444,40.00327086652025,42254.28638310242,25750.08988717014,25750.08988717014,68004.37627027257,77279.05451250139,77279.05451250139,25750.08988717014,103029.14439967152,103029.14439967152,103029.14439967152,127800.77492979552,91465.3371854157,56440.56905601775,38916.409032664385,24771.630530123995,0.0,63688.039562788385,21055.885950605396,1533.7973564445672,0.0,0.8868803751504293,2.816316146528487,0.0014959135982669303,354584.00990496087,1554674.263052006,4.384501894117293,1554674.263052006,4.384501894117293,0.85,0.09551460658361237,4.027634451161993,1.2669020669860767,1.0,0.0,4.027634451162292,1.2847503677643912,1.2850489054165666,3.1349548925761552,19303.027012586346,1968.3609604285202,4632.441516551485,4632.441516551485,5.558643275941282,5.001243243164466,-2.3283886936399827,7.329631936804448,3.495670752384951,3.495670752384951,0.9987630721099859,0.0,0.0,0.00023235806604770883,7.844293887378952e-05,0.0001539151271739193,0.0006199138687606569,0.09551460658363892,0.07164319494991139,0.02387141163372753,0.0955145853416789,0.07164319494989148,0.023871411633720894,0.37714430792622333,0.37714430792622333,0.12566395211880904,0.0,4.992029498486431,4.988648504256787,5.0021768801243525,4.992083966960763,4.988742522992709,5.002112642921134,24771.630530123995,21055.885950605396,0.85,1.067773113085524,0.6634571683030849,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4517608809390357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.594890468912,1533.7973564445672,0.37714430792622333,0.12566395211880904,6.112874298809886,3.495670752384951
5330.0,-30.04429443621683,5.001242408812445,35.00164345088192,24.087901110202097,4.998532062280456,-26.54001805365444,-40.04634685171766,1.4942556797182787,-0.013227781625914758,-5.005209564828525,40.00326973451457,42254.28786492499,25750.100122242507,25750.100122242507,68004.3879871675,77279.01200984229,77279.01200984229,25750.100122242507,103029.1121320848,103029.1121320848,103029.1121320848,127800.73999397003,91465.28583822185,56440.56169330535,38916.36016101833,24771.62786188523,0.0,63687.98802290356,21055.883682602445,1533.7972625859586,0.0,0.8868803687177196,2.816317274364582,0.0014959135982669303,354583.98129306396,1554674.2142398483,4.384502110248767,1554674.2142398483,4.384502110248767,0.85,0.0955145995817683,4.027634451161993,1.2669019741239027,1.0,0.0,4.02763445116288,1.2847503791438495,1.2850489173300543,3.1349548648088246,19303.016176172245,1968.3598554218052,4632.441516551485,4632.441516551485,5.558645485374974,5.001242408812445,-2.328388567869655,7.3296309766821,3.4956725997389664,3.4956725997389664,0.998763599925419,0.0,0.0,0.00023235847963588846,7.844309425776095e-05,0.00015391538537812751,0.0006199149087128213,0.09551459958178272,0.07164318721154245,0.02387141237024028,0.09551461705425823,0.07164318721153162,0.023871412370236676,0.37714427353807967,0.37714427353807967,0.12566395811117306,0.0,4.992020742731597,4.988630643675549,5.002195450084628,4.991981783202618,4.988555266457524,5.0022657942436695,24771.62786188523,21055.883682602445,0.85,1.0677741611606835,0.6634577284766704,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45176077830399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.59375593074,1533.7972625859586,0.37714427353807967,0.12566395811117306,6.112874298809886,3.4956725997389664
5331.0,-30.044277318189128,5.001241638957319,35.00164280877555,24.08791067954155,4.998536237627779,-26.540002227432726,-40.046329249721,1.4942611468716287,-0.013099291127105062,-5.00520462555313,40.00326819904653,42254.28888566067,25750.092382615025,25750.092382615025,68004.3812682757,77279.03384201418,77279.03384201418,25750.092382615025,103029.1262246292,103029.1262246292,103029.1262246292,127800.74664271508,91465.30245167973,56440.557495327244,38916.3832848361,24771.620418085877,0.0,63688.003702921975,21055.877355372995,1533.7967442723307,0.0,0.88688039939929,2.8163161630850517,0.0014959135982669303,354584.0495604912,1554674.148030372,4.384501079384137,1554674.148030372,4.384501079384137,0.85,0.09551458340979199,4.027634451161993,1.2669019329128788,1.0,0.0,4.027634451163725,1.2847503527140576,1.2850488914262066,3.134954929300891,19303.0196823095,1968.3602129483056,4632.441516551485,4632.441516551485,5.558643814630193,5.001241638957319,-2.328383317769314,7.329624956726633,3.495674420114714,3.495674420114714,0.9987641200327754,0.0,0.0,0.0002323588937691771,7.844325057246182e-05,0.00015391564319671528,0.0006199159471118475,0.09551458340981797,0.07164317231415554,0.02387141109566243,0.09551455039275446,0.07164317231413606,0.02387141109565594,0.37714423737635894,0.37714423737635894,0.12566396548289527,0.0,4.9920357835652,4.988653921517027,5.002185766886669,4.9921053344260145,4.988756421525409,5.002156424593011,24771.620418085877,21055.877355372995,0.85,1.067773792777174,0.6634575811601717,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4517606758494717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.59262136001,1533.7967442723307,0.37714423737635894,0.12566396548289527,6.112874298809886,3.495674420114714
5332.0,-30.044260276911942,5.001240900583152,35.00164218922164,24.087904567737155,4.998539817191616,-26.539986529921737,-40.046311682648934,1.4942660702016406,-0.013224488940466017,-5.00520116758357,40.003267571724294,42254.28965562834,25750.088604900055,25750.088604900055,68004.37826052839,77278.99460185811,77278.99460185811,25750.088604900055,103029.08320675817,103029.08320675817,103029.08320675817,127800.70200896756,91465.25778241186,56440.55283618299,38916.33882914319,24771.618802209396,0.0,63687.95763135259,21055.875981877987,1533.7965860056963,0.0,0.8868804192591113,2.816318211368665,0.0014959135982669303,354584.09735428623,1554674.1209801978,4.384500412117551,1554674.1209801978,4.384500412117551,0.8500000000000001,0.09551457207267366,4.027634451161993,1.2669018532382328,1.0,0.0,4.027634451160663,1.2847503288320348,1.285048868068335,3.1349549875760774,19303.0102552182,1968.3592516525216,4632.441516551485,4632.441516551485,5.558642999139064,5.001240900583152,-2.328379126050577,7.329620026633729,3.4956762585564385,3.4956762585564385,0.9987646453018396,0.0,0.0,0.0002323593060463314,7.844340657730192e-05,0.00015391589946902947,0.000619916979283049,0.09551457207268535,0.07164316117904901,0.023871410893636334,0.09551461214276206,0.07164316117904025,0.02387141089363342,0.37714420227960055,0.37714420227960055,0.1256639722564591,0.0,4.992022648224349,4.9886428710087785,5.002166372664021,4.991976678643084,4.988605241918265,5.0020953700391715,24771.618802209396,21055.875981877987,0.85,1.0677745179734088,0.6634580731919594,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4517605732601013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15418.59148780996,1533.7965860056963,0.37714420227960055,0.1256639722564591,6.112874298809886,3.4956762585564385
