time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_dock_external_w,q_useful_w,q_cascade_w,q_cascade_refrigerant_w,q_dock_refrigerant_w,q_evap_total_w,q_evap_load_requested_w,q_map_capacity_balance_error_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_dock_fan_w,w_total_input_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_compressor_volumetric_efficiency,refrigerant_compressor_suction_density_kg_m3,refrigerant_compressor_displacement_m3_per_rev,refrigerant_evaporating_pressure_pa,refrigerant_condensing_pressure_pa,refrigerant_pressure_ratio,refrigerant_condensing_pressure_from_tcond_pa,refrigerant_pressure_ratio_from_tcond,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_pressure_ratio,air_damper_opening,air_damper_resistance_head_coefficient,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,dock_evaporator_ua_w_k,dock_evaporator_ua_ref_w_k,dock_evaporator_lmtd_k,dock_evaporator_air_inlet_c,dock_evaporator_air_outlet_c,dock_evaporator_air_delta_t_k,dock_air_m_dot_kg_s,dock_fan_m_dot_kg_s,dock_air_flow_ratio,dock_fan_power_w,dock_fan_heat_w,humidity_ratio_room_kg_kg_da,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,cascade_valve_flow_kg_s,dock_valve_flow_kg_s,compressor_map_flow_kg_s,m_ref_cascade_kg_s,m_ref_dock_kg_s,valve_opening,cascade_valve_opening,dock_valve_opening,refrigerant_subcooling_k,refrigerant_superheat_k,refrigerant_cascade_superheat_k,refrigerant_dock_superheat_k,refrigerant_raw_superheat_k,refrigerant_raw_cascade_superheat_k,refrigerant_raw_dock_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,infiltration_effective_volume_m3,infiltration_maximum_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_compressor_mass_flow_fixed_m_dot_kg_s,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_dock_evaporator_ua_w_k,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_compressor_eta_is,startup_solved_vcc_cycle_compressor_displacement_m3_per_rev,startup_solved_vcc_cycle_expansion_valves_cascade_opening,startup_solved_vcc_cycle_expansion_valves_dock_opening,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_cascade_superheat_to_cascade_expansion_valve_output,pid_B3_dock_superheat_to_dock_expansion_valve_output,pid_B4_subcooling_to_sink_flow_output,pid_B5_loading_dock_temperature_to_dock_air_flow_output
811.0,-30.061449949016332,5.0688582715386845,35.01577717254121,24.143753642588877,4.991365769194947,-26.556177075894222,-40.09810702465472,1.4860928960636683,-0.7551703135163166,-5.04538676332921,40.03080395627451,42394.85428047945,25768.541101329756,25768.541101329756,68163.39538180921,77534.06998199706,77534.06998199706,25768.541101329756,103302.61108332682,103302.61108332682,103302.61108332682,128148.37844683789,91724.36698831806,56585.151286763285,39043.57300172752,24845.767363511066,0.0,63889.34036523859,21118.902258984406,1538.454563658857,0.0,0.8865760375086984,2.8214042182518946,0.0014959135982669303,354029.0195667538,1555861.8342869764,4.394729664226329,1555861.8342869764,4.394729664226329,0.85,0.09594475639480887,4.027634451161993,1.2677319108461962,1.0,0.0,4.027634451161235,1.2847894210749424,1.2850874355053807,3.134859600410003,19357.693178331225,1973.9353579796593,4632.441516551485,4632.441516551485,5.562626319028537,5.0688582715386845,-2.407837030696349,7.476695302235033,3.4293679717887477,3.4293679717887477,0.9798194205110707,0.0,0.0,0.00023194378115243592,7.798468096924924e-05,0.00015395910018318668,0.0006200909759677034,0.09594475639566075,0.07205081129004551,0.023893945105615242,0.09594475415355314,0.07205081128940578,0.023893945105403096,0.3787401426871056,0.3787401426871056,0.1256001982021939,0.0,4.286932526278292,4.057695470381532,4.979586780876446,4.290216449812874,4.062370924160973,4.97865752353556,24845.767363511066,21118.902258984406,0.85,1.0668977796943429,0.6635669430631025,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451859385336747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.196563072523,1538.454563658857,0.3787401426871056,0.1256001982021939,6.112874298809886,3.4293679717887477
812.0,-30.062132887726104,5.068704627219991,35.01574959109441,24.143576120864623,4.9913007843617905,-26.556798315516726,-40.098684712406225,1.4859662121432204,-0.7543370487466063,-5.045393578289696,40.03075097978421,42394.296410378694,25768.437318243246,25768.437318243246,68162.73372862194,77533.61214416464,77533.61214416464,25768.437318243246,103302.04946240789,103302.04946240789,103302.04946240789,128147.70432638642,91724.15849201212,56584.842758189145,39043.6841486922,24845.654863978525,0.0,63889.33901267072,21118.806634381745,1538.44921289716,0.0,0.8865761948321664,2.8213923898916393,0.0014959135982669303,354028.92549056566,1555859.5486199413,4.3947243758798535,1555859.5486199413,4.3947243758798535,0.85,0.09594401981944932,4.027634451161993,1.267731391587295,1.0,0.0,4.0276344511615205,1.2847900477828416,1.2850880411655925,3.134858071256444,19357.649176855375,1973.9308710778273,4632.441516551485,4632.441516551485,5.562603915489034,5.068704627219991,-2.4078114166384514,7.476516043858442,3.429436382821321,3.429436382821321,0.9798389665203774,0.0,0.0,0.00023192728666545826,7.797957868969093e-05,0.00015394770797576735,0.0006200450923206265,0.09594401982030955,0.07205014654046457,0.023893873279844977,0.0959440352478158,0.07205014653981857,0.023893873279630745,0.3787373390272001,0.3787373390272001,0.12560004968177618,0.0,4.287760743477634,4.058891271608047,4.9792977352796015,4.291056529543084,4.0636617568166,4.978128595984288,24845.654863978525,21118.806634381745,0.85,1.066887446043286,0.6635582252928134,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4518634968327329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.180795704313,1538.44921289716,0.3787373390272001,0.12560004968177618,6.112874298809886,3.429436382821321
813.0,-30.062813305807232,5.06855147592015,35.01572209833583,24.143375968001806,4.991212757977228,-26.557419590616394,-40.09925852352751,1.4858190427771119,-0.7534159867511789,-5.045417414095679,40.03069840010432,42393.73369071642,25768.378155980965,25768.378155980965,68162.11184669739,77533.15577450194,77533.15577450194,25768.378155980965,103301.5339304829,103301.5339304829,103301.5339304829,128147.08388344926,91723.94111767787,56584.51903385473,39043.80231535904,24845.549952966372,0.0,63889.35226832541,21118.717460021417,1538.444680344803,0.0,0.886576263948091,2.8213774067628923,0.0014959135982669303,354028.5964526034,1555857.280075772,4.394722052584435,1555857.280075772,4.394722052584435,0.85,0.09594330406170759,4.027634451161993,1.267730798698031,1.0,0.0,4.027634451163522,1.284790770197607,1.2850887426344477,3.1348563085820764,19357.603301742736,1973.9261931182143,4632.441516551485,4632.441516551485,5.56259114419725,5.06855147592015,-2.407798255470918,7.476349731391068,3.429504797237746,3.429504797237746,0.9798585134964989,0.0,0.0,0.00023191085413198906,7.797451095500969e-05,0.00015393634317697937,0.0006199993190654975,0.09594330406253712,0.0720494978705849,0.02389380619195222,0.09594325054520159,0.07204949786996195,0.02389380619174564,0.3787345404415303,0.3787345404415303,0.1255998997211964,0.0,4.2886186992788,4.060097131199029,4.979098048802996,4.2920014273444735,4.064875922808028,4.9782539743698635,24845.549952966372,21118.717460021417,0.85,1.0668774909538454,0.6635492798967391,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4518675902906173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.16506583386,1538.444680344803,0.3787345404415303,0.1255998997211964,6.112874298809886,3.429504797237746
814.0,-30.063490555833475,5.068399204368708,35.01569467649388,24.14319278849291,4.99114997002596,-26.55803548991686,-40.099827794451244,1.4856949041001957,-0.7527212087852035,-5.045422327332612,40.030645480168005,42393.16560988646,25768.272586172996,25768.272586172996,68161.43819605946,77532.66595404234,77532.66595404234,25768.272586172996,103300.93854021534,103300.93854021534,103300.93854021534,128146.37473028865,91723.69923211652,56584.19888792358,39043.88927132548,24845.43619007331,0.0,63889.325461398796,21118.620761562313,1538.4392065689708,0.0,0.8865764307610317,2.82136763451744,0.0014959135982669303,354028.52862855856,1555854.9968538038,4.394716445256262,1555854.9968538038,4.394716445256262,0.85,0.09594256809655388,4.027634451161993,1.2677302382281055,1.0,0.0,4.027634451160967,1.2847913847115575,1.2850893362771154,3.1348548091846196,19357.552253731887,1973.9209876697842,4632.441516551485,4632.441516551485,5.56256835496017,5.068399204368708,-2.4077709909372174,7.476170195305926,3.429573104307661,3.429573104307661,0.9798780298021889,0.0,0.0,0.0002318944991742769,7.796948361892647e-05,0.00015392501555535043,0.0006199536955463751,0.09594256809741501,0.0720488337028553,0.023893734394559715,0.09594259491971664,0.07204883370220862,0.023893734394345258,0.3787317473226574,0.3787317473226574,0.12559975383690986,0.0,4.2894378803392215,4.061277552717172,4.978819219518755,4.292701118547427,4.065990084331588,4.977694561934584,24845.43619007331,21118.620761562313,0.85,1.0668673945734775,0.6635406666720864,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451871668662063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.149363695378,1538.4392065689708,0.3787317473226574,0.12559975383690986,6.112874298809886,3.429573104307661
815.0,-30.064165368616177,5.068247583836569,35.01566738264845,24.143011320289247,4.99107585394978,-26.558650328331016,-40.10040066260842,1.485560813655624,-0.751779526655298,-5.0454373522604445,40.03059436463003,42392.62301833971,25768.194463856682,25768.194463856682,68160.81748219639,77532.2291110812,77532.2291110812,25768.194463856682,103300.42357493787,103300.42357493787,103300.42357493787,128145.75935780641,91723.50475374429,56583.898660966435,39044.00676975317,24845.335782868544,0.0,63889.34255262172,21118.535415438262,1538.4347283775926,0.0,0.8865765394847968,2.8213534102533,0.0014959135982669303,354028.32121925394,1555852.7914847096,4.394712790565564,1555852.7914847096,4.394712790565564,0.85,0.09594184986465443,4.027634451161993,1.267729704133235,1.0,0.0,4.027634451161553,1.2847920456584094,1.285089976440413,3.134853196493738,19357.511210628698,1973.9168024380087,4632.441516551485,4632.441516551485,5.562551490782602,5.068247583836569,-2.40775102364023,7.475998607476798,3.4296414215161763,3.4296414215161763,0.9798975490046218,0.0,0.0,0.00023187820413064742,7.796442481752922e-05,0.0001539137793131182,0.0006199084400700589,0.09594184986547057,0.07204818326362436,0.023893666601846202,0.09594184370455788,0.07204818326301148,0.02389366660164295,0.37872895783788535,0.37872895783788535,0.12559960627920325,0.0,4.290288368426445,4.062491391889466,4.978565342292882,4.293657825605123,4.067318629183774,4.977521262427047,24845.335782868544,21118.535415438262,0.85,1.0668573937203458,0.6635319964894539,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4518757280661754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.133702342991,1538.4347283775926,0.37872895783788535,0.12559960627920325,6.112874298809886,3.4296414215161763
816.0,-30.064836853845247,5.068096671150292,35.01564017724505,24.14282412445175,4.9910045456138805,-26.559261890639434,-40.1009654631838,1.4854295823990487,-0.7509816105501272,-5.045449087337079,40.030542352979175,42392.06134288212,25768.1095223532,25768.1095223532,68160.17086523533,77531.7575799227,77531.7575799227,25768.1095223532,103299.86710227591,103299.86710227591,103299.86710227591,128145.0956678554,91723.27538102362,56583.57914394644,39044.106930085756,24845.228565579495,0.0,63889.33549566525,21118.44428074257,1538.4297805909787,0.0,0.8865766682283377,2.821341474340222,0.0014959135982669303,354028.1592242594,1555850.5474554403,4.39470846292169,1555850.5474554403,4.39470846292169,0.85,0.09594112600928947,4.027634451161993,1.267729123332538,1.0,0.0,4.027634451161752,1.284792693062037,1.285090603161911,3.1348516168495335,19357.462803352682,1973.911866269591,4632.441516551485,4632.441516551485,5.56253315455468,5.068096671150292,-2.4077285020611385,7.475825173211431,3.4297096813295953,3.4297096813295953,0.9799170518084558,0.0,0.0,0.0002318619904862908,7.795943755523967e-05,0.00015390255293105113,0.0006198632243068837,0.09594112601012639,0.07204752887446356,0.023893597135662824,0.0959411431896491,0.07204752887383507,0.023893597135454393,0.3787261740746793,0.3787261740746793,0.1255994587106326,0.0,4.291129447371077,4.063693443721377,4.978309287706338,4.294467476786963,4.068479701348508,4.977262755019808,24845.228565579495,21118.44428074257,0.85,1.0668473906706988,0.663523278400013,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451879772883133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.118067241718,1538.4297805909787,0.3787261740746793,0.1255994587106326,6.112874298809886,3.4297096813295953
817.0,-30.065505887744838,5.0679464783105,35.01561307252553,24.142636509519093,4.990935485650405,-26.559871021566956,-40.10152987958861,1.485300619463655,-0.7502370977960027,-5.045459603560328,40.03049087478334,42391.50870359415,25768.023140775163,25768.023140775163,68159.53184436931,77531.27533492206,77531.27533492206,25768.023140775163,103299.29847569723,103299.29847569723,103299.29847569723,128144.42205181136,91723.03521527004,56583.26858390624,39044.185145959775,24845.123576114132,0.0,63889.30872207391,21118.355039697013,1538.424929267679,0.0,0.8865768012512684,2.8213303881366074,0.0014959135982669303,354028.0140547819,1555848.3264443595,4.39470399142936,1555848.3264443595,4.39470399142936,0.85,0.09594040347992723,4.027634451161993,1.2677285524224864,1.0,0.0,4.0276344511616475,1.2847933297302987,1.285091219222918,3.1348500634008323,19357.412118293498,1973.9066978319302,4632.441516551485,4632.441516551485,5.562514507459467,5.0679464783105,-2.4077049351243724,7.475651413434872,3.4297779019756294,3.4297779019756294,0.9799365434216084,0.0,0.0,0.00023184583707039678,7.795445397987303e-05,0.00015389138309052373,0.0006198182362723615,0.09594040348075591,0.07204687574704204,0.023893527733713886,0.09594047805066867,0.07204687574641973,0.023893527733507506,0.3787233949828535,0.3787233949828535,0.12559931083202602,0.0,4.291952854405281,4.064873911273821,4.978047437295743,4.295222505764343,4.069576115600626,4.976980039469822,24845.123576114132,21118.355039697013,0.85,1.0668378357460617,0.6635149065081022,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451883797776156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.102476308673,1538.424929267679,0.3787233949828535,0.12559931083202602,6.112874298809886,3.4297779019756294
818.0,-30.066172561725477,5.067796869032493,35.01558604627492,24.1424502915703,4.9908573616125365,-26.560478934693244,-40.10209405152125,1.4851637345713062,-0.7492820896516719,-5.045476013572433,40.0304389508992,42390.965445583584,25767.953113360873,25767.953113360873,68158.91855894445,77530.83545155328,77530.83545155328,25767.953113360873,103298.78856491415,103298.78856491415,103298.78856491415,128143.80608045419,91722.8327890565,56582.96278305031,39044.30000667354,24845.017515540036,0.0,63889.317522213576,21118.26488820903,1538.4201525326177,0.0,0.8865769058447278,2.8213158257910873,0.0014959135982669303,354027.7875255569,1555846.0862066185,4.394700475578639,1555846.0862066185,4.394700475578639,0.85,0.09593968638021755,4.027634451161993,1.2677280166791753,1.0,0.0,4.027634451162575,1.2847940033397454,1.285091872308189,3.1348484198185838,19357.369397862036,1973.9023415602715,4632.441516551485,4632.441516551485,5.562499390719396,5.067796869032493,-2.4076856109126163,7.475482479945109,3.4298460882542092,3.4298460882542092,0.9799560252154883,0.0,0.0,0.00023182974166466907,7.794947285744083e-05,0.00015388026880722822,0.0006197734720020606,0.09593968638104647,0.072046226960458,0.02389345942058848,0.0959396962816608,0.07204622695983551,0.02389345942038204,0.37872061912005356,0.37872061912005356,0.12559916218307432,0.0,4.292808078850442,4.066080842883764,4.977833639974051,4.296193923920782,4.070877849229078,4.976947245128031,24845.017515540036,21118.26488820903,0.85,1.0668280896136726,0.6635063120034853,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4518878079970712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.086912101091,1538.4201525326177,0.37872061912005356,0.12559916218307432,6.112874298809886,3.4298460882542092
819.0,-30.066836147407514,5.067647926563033,35.01555907610217,24.14226847412067,4.99078436840406,-26.561083554762543,-40.102653997577704,1.4850317757502751,-0.7483552523796675,-5.045487956632665,40.030386531771406,42390.4177488539,25767.873096335068,25767.873096335068,68158.29084518897,77530.39257967973,77530.39257967973,25767.873096335068,103298.2656760148,103298.2656760148,103298.2656760148,128143.17230061763,91722.62820522509,56582.6533743636,39044.41647873499,24844.906624602838,0.0,63889.323103337825,21118.170630912413,1538.4149958736837,0.0,0.8865770350051972,2.821302159455648,0.0014959135982669303,354027.62265968247,1555843.8246042358,4.394696133922374,1555843.8246042358,4.394696133922374,0.85,0.09593896400505682,4.027634451161993,1.2677274946728727,1.0,0.0,4.027634451163967,1.284794653748693,1.285092502284674,3.1348468328463346,19357.326222082604,1973.897938856042,4632.441516551485,4632.441516551485,5.562482117532997,5.067647926563033,-2.4076628904928965,7.47531081705593,3.429914200252528,3.429914200252528,0.9799754857864366,0.0,0.0,0.00023181372184158443,7.79445293365946e-05,0.0001538691925049898,0.0006197288607055737,0.0959389640059006,0.07204557414489587,0.02389338986100472,0.09593892395012343,0.07204557414426224,0.02389338986079458,0.37871784823293875,0.37871784823293875,0.12559901565850032,0.0,4.2936783317849745,4.067305909859215,4.977625482322367,4.297132704252988,4.072183839130275,4.97677014108757,24844.906624602838,21118.170630912413,0.85,1.0668181714016018,0.6634976814559373,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451891804093569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.07137286942,1538.4149958736837,0.37871784823293875,0.12559901565850032,6.112874298809886,3.429914200252528
820.0,-30.067496973944877,5.067499745839674,35.01553220343177,24.142085189837985,4.990720317335074,-26.561684796999153,-40.10320961298419,1.4849081403804643,-0.7476417838734619,-5.045494746882431,40.03033543137038,42389.86415135144,25767.781686803144,25767.781686803144,68157.64583815458,77529.9075710542,77529.9075710542,25767.781686803144,103297.68925785733,103297.68925785733,103297.68925785733,128142.49045652227,91722.38399102108,56582.340571282526,39044.492688598395,24844.801198664936,0.0,63889.29388726333,21118.081018865196,1538.4100282272123,0.0,0.8865771856525031,2.8212919207447054,0.0014959135982669303,354027.52892490063,1555841.6199001865,4.394691069999319,1555841.6199001865,4.394691069999319,0.85,0.09593824197657874,4.027634451161993,1.267726925960742,1.0,0.0,4.027634451162013,1.2847952650799084,1.2850930932612334,3.1348453412236794,19357.27468263037,1973.892683294537,4632.441516551485,4632.441516551485,5.562462385058967,5.067499745839674,-2.407636215255488,7.475135961095162,3.4299822640559623,3.4299822640559623,0.9799949325874178,0.0,0.0,0.00023179776964139928,7.79396243356772e-05,0.0001538581453057221,0.0006196843666252141,0.09593824197740465,0.07204492159757096,0.023893320379833684,0.09593828229045356,0.07204492159695075,0.02389332037962799,0.37871508323120534,0.37871508323120534,0.12559887103303688,0.0,4.294516645052681,4.068499470219649,4.9773840959163635,4.29785296300895,4.073261036182032,4.9764056396247724,24844.801198664936,21118.081018865196,0.85,1.0668085635509297,0.6634893199187804,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4518957816994276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.0558732842,1538.4100282272123,0.37871508323120534,0.12559887103303688,6.112874298809886,3.4299822640559623
821.0,-30.068155119372978,5.0673519832384795,35.01550539103802,24.14188451310622,4.990632917732118,-26.562285960837457,-40.1037689653225,1.4847637591876874,-0.7467381346048683,-5.045517336231343,40.03028344169978,42389.33768401729,25767.73151214335,25767.73151214335,68157.06919616065,77529.44675070095,77529.44675070095,25767.73151214335,103297.1782628443,103297.1782628443,103297.1782628443,128141.873761905,91722.15343032345,56582.04436360368,39044.56562968864,24844.695499060686,0.0,63889.26112874932,21117.991174201583,1538.4054040327496,0.0,0.8865772589835424,2.821277315281247,0.0014959135982669303,354027.217094435,1555839.3768314226,4.394688605018778,1555839.3768314226,4.394688605018778,0.85,0.09593753486405496,4.027634451161993,1.267726375930943,1.0,0.0,4.027634451162695,1.2847959733290237,1.285093781262588,3.1348436131271677,19357.226024641335,1973.887721560506,4632.441516551485,4632.441516551485,5.56245155391094,5.0673519832384795,-2.4076211308727595,7.474973114111239,3.430050309415354,3.430050309415354,0.9800143741186725,0.0,0.0,0.00023178188316780662,7.79346866331947e-05,0.00015384719653461191,0.0006196402689774929,0.09593753486487598,0.07204428051374907,0.02389325435112691,0.09593750519321428,0.07204428051313252,0.023893254350922433,0.37871232184308706,0.37871232184308706,0.12559872577221237,0.0,4.295378488136066,4.069689623560862,4.9772478137148255,4.298779201626473,4.0744079203573165,4.976659727020319,24844.695499060686,21117.991174201583,0.85,1.066800084897067,0.663481419805349,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4518997427873566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.040406854321,1538.4054040327496,0.37871232184308706,0.12559872577221237,6.112874298809886,3.430050309415354
822.0,-30.06881055680872,5.067205030343179,35.015478621725094,24.14171656072142,4.990570881785494,-26.562882150508702,-40.10432000560684,1.4846424754767216,-0.7458047654141637,-5.045520866680394,40.0302310717224,42388.78844623159,25767.634347436055,25767.634347436055,68156.42279366765,77529.01579569138,77529.01579569138,25767.634347436055,103296.65014312742,103296.65014312742,103296.65014312742,128141.230823831,91721.96191078595,56581.73456129074,39044.69705499468,24844.580680703588,0.0,63889.27773569827,21117.89357859805,1538.399826474794,0.0,0.8865774308512655,2.82126454779608,0.0014959135982669303,354027.16835902684,1555837.117356977,4.3946828277856005,1555837.117356977,4.3946828277856005,0.85,0.09593680718927192,4.027634451161993,1.2677258165599783,1.0,0.0,4.0276344511636735,1.2847965733871305,1.2850943611331027,3.134842149013422,19357.185605976516,1973.8836000037238,4632.441516551485,4632.441516551485,5.562430579073598,5.067205030343179,-2.407591875469097,7.474796905812276,3.4301182339403926,3.4301182339403926,0.9800337811258265,0.0,0.0,0.00023176606305734028,7.792982258845452e-05,0.00015383624046888577,0.0006195961419497251,0.09593680719012412,0.07204362333868025,0.02389318385144388,0.09593674180869707,0.07204362333804028,0.023893183851231632,0.3787095639348753,0.3787095639348753,0.12559858621849648,0.0,4.296248170471301,4.070912966013111,4.977042623928639,4.299716101266256,4.075799778852058,4.976215152690543,24844.580680703588,21117.89357859805,0.85,1.0667896900575713,0.663472650631434,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4519036878248563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.024972108446,1538.399826474794,0.3787095639348753,0.12559858621849648,6.112874298809886,3.4301182339403926
823.0,-30.06946319063366,5.067059073270384,35.01545204235295,24.141550668887817,4.990528847891882,-26.563473816353625,-40.10486280368639,1.4845394736030013,-0.7452670764711229,-5.045514644862305,40.030183065493546,42388.21712118249,25767.51484873541,25767.51484873541,68155.73196991789,77528.51210708299,77528.51210708299,25767.51484873541,103296.02695581841,103296.02695581841,103296.02695581841,128140.5143696628,91721.70462333724,56581.40963740083,39044.77220659601,24844.487413844377,0.0,63889.25962044039,21117.81430176772,1538.3952496773256,0.0,0.8865776366130439,2.821258159323789,0.0014959135982669303,354027.25424692704,1555835.0461562907,4.394675911225542,1555835.0461562907,4.394675911225542,0.85,0.09593608491892504,4.027634451161993,1.267725184657611,1.0,0.0,4.027634451161514,1.2847970877777735,1.285094855404497,3.1348408939253742,19357.13130752067,1973.8780631021473,4632.441516551485,4632.441516551485,5.562404783021944,5.067059073270384,-2.4075551569789684,7.474614230249353,3.430186156455708,3.430186156455708,0.9800531875587737,0.0,0.0,0.00023175031160530896,7.792503157223385e-05,0.0001538252800330751,0.0006195519973208544,0.09593608491970643,0.07204297044521218,0.023893114474494243,0.0959362614201448,0.0720429704446254,0.023893114474299634,0.37870681161749703,0.37870681161749703,0.12559844695921923,0.0,4.297046536024197,4.0720836466064725,4.976709676638109,4.300247568391171,4.076778103054039,4.975389724345234,24844.487413844377,21117.81430176772,0.85,1.0667791797060129,0.6634638963263401,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4519076166505342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,2.0,15435.009569674505,1538.3952496773256,0.37870681161749703,0.12559844695921923,6.112874298809886,3.430186156455708
