time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_useful_w,q_cascade_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_pressure_ratio,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,humidity_ratio_room_kg_kg_da,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,compressor_map_flow_kg_s,valve_opening,refrigerant_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_expansion_valve_opening,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_superheat_to_expansion_valve_output,pid_B4_condensing_temperature_to_sink_flow_output
523.6,-28.847002139853636,4.536185945686675,35.03091410675584,25.456070119421952,5.145003730622591,-25.447633897584947,-39.60205988315863,1.7456354883539194,-5.500924867694607,-5.500924867695018,40.30911298446265,37938.05499123038,25845.560344457863,63783.61533568824,68397.30477487149,123066.99362852689,79844.64196091007,49385.392177268965,33843.61087071234,28824.12850919754,18561.518291994566,1579.9146859806594,102565.62845278444,0.6439576581152051,0.0950407105137868,3.35013,1.2810071514965968,3.350129999998717,1.2835122234819503,1.283849865242472,2.6101270706340975,20258.3021156712,2065.7719114754987,0.0002630471118881503,8.248163176592354e-05,0.00018056548012222677,0.0006049178319218755,0.09504071051378686,0.09504071051378671,0.49210022797859915,3.979039320256561e-13,28824.12850919754,18561.518291994566,0.85,1.0178062264064387,0.6053841317178998,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4446023093845195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,8.0,15409.318114930065,1579.9146859806594,0.49210022797859915,5.868844569769317
523.8000000000001,-28.849792095569644,4.536027214895737,35.030775328678324,25.45596482176336,5.145304283177795,-25.45012404935705,-39.604411530867196,1.7456362369787746,-5.500958600468266,-5.500958600468681,40.30912855430705,37936.061866207914,25845.238474563375,63781.30034077129,68395.92843886057,123065.16280460413,79844.2736087759,49384.40703616908,33844.296191785346,28823.99589118018,18561.119377609273,1579.9078549257094,102565.02529680972,0.6439467812749989,0.09504015513844873,3.35013,1.2810057744989174,3.3501299999986247,1.2835123760553857,1.283849920743705,2.6101267603635763,20258.208656816158,2065.7623813245254,0.0002629714544307022,8.245975861188553e-05,0.00018051169581881666,0.0006047376475134923,0.09504015513845372,0.0950401551384642,0.49209689464526585,3.979039320256561e-13,28823.99589118018,18561.119377609273,0.85,1.0177603094134473,0.6053469881704289,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.444618885845609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,3.0,15409.282669554232,1579.9078549257094,0.49209689464526585,5.868930992668333
524.0,-28.852580491524122,4.535867742359272,35.03063601250699,25.455080181732797,5.14473276517963,-25.45268548248358,-39.60687933778388,1.744837756157029,-5.501290906913539,-5.5012909069138525,40.30898545644486,37934.47599544558,25845.683521878294,63780.159517323875,68394.86442954664,123064.642237391,79843.97229277603,49383.5838587354,33844.87603782292,28824.094285966064,18561.117487896096,1579.9263349960588,102564.290211996,0.6439445175189137,0.09503938000142012,3.35013,1.2810055667953568,3.3501299999985754,1.283516260185537,1.2838537088626871,2.610118861693054,20258.132206469487,2065.754585558727,0.00026289585929457313,8.243681080304053e-05,0.0001804590484915326,0.0006045612721229381,0.09503938000142001,0.09503938000142051,0.4920935613119325,3.410605131648481e-13,28824.094285966064,18561.117487896096,0.85,1.0177310906465156,0.6053151312276428,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4446354500594565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,3.0,15409.248822869267,1579.9263349960588,0.4920935613119325,5.86911051567626
524.2,-28.855364270165335,4.535708565105337,35.03049549101077,25.454141583200567,5.1441564843132435,-25.455076835517726,-39.60918631693346,1.7439874307413754,-5.501384811465357,-5.501384811465684,40.30863805696925,37932.350959698306,25845.515444670382,63777.86640436869,68393.63476222873,123062.77712425016,79843.66386878847,49382.77871313144,33845.42795073003,28823.62691735106,18560.716798012963,1579.9099068434734,102563.15192550003,0.6439410574954363,0.0950379134279303,3.35013,1.281005300297402,3.3501299999981846,1.283520386108859,1.2838577390241066,2.6101104713703127,20258.053952673537,2065.746605892281,0.00026282040930057134,8.241536384896786e-05,0.0001804050454516035,0.0006043803549187804,0.09503766147903693,0.09503816537244485,0.49209022797859914,3.410605131648481e-13,28823.62691735106,18560.716798012963,0.85,1.0176931268330383,0.605280405768784,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4446520053733276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,4.0,15409.21257073991,1579.9099068434734,0.49209022797859914,5.8692106253320775
524.4,-28.85814955812257,4.535549389699365,35.03035558490333,25.45339084407317,5.1436723721596405,-25.457801372610287,-39.61179500967262,1.7433241866473697,-5.501540025284157,-5.501540025284489,40.308443961531516,37931.26356471123,25845.505243583422,63776.768808294655,68392.72737712822,123061.41249793969,79843.35810927227,49381.89429685539,33846.070902685424,28823.17987722805,18560.556446126153,1579.8932625636764,102561.48996602203,0.643945481559793,0.09503652619315622,3.35013,1.281004882142879,3.3501300000000396,1.2835236385858864,1.2838608954822135,2.6101038572931805,20257.97637491125,2065.738695162084,0.0002627449383576865,8.239111821210416e-05,0.00018035382014558235,0.0006042087434843197,0.09503652619315611,0.0950365261931562,0.4920868946452658,3.410605131648481e-13,28823.17987722805,18560.556446126153,0.85,1.017672431289639,0.6052611622551713,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4446685336326917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,8.0,15409.17945826659,1579.8932625636764,0.4920868946452658,5.869208391181479
524.6,-28.860933107945456,4.535390453612697,35.03021574192025,25.452739640045934,5.143379155645603,-25.460336303974216,-39.61421357290817,1.7427823516743752,-5.501643197649287,-5.501643197649603,40.308258028768385,37929.52543056896,25845.36165200042,63774.88708256938,68391.51235247792,123059.70196598128,79842.97870642344,49380.991784514496,33846.65213545438,28822.82796150294,18560.2321480209,1579.880283516295,102560.3328249463,0.6439420924557013,0.0950353633275204,3.35013,1.281004067263566,3.3501300000016947,1.2835263240579882,1.2838634848720103,2.61009839627461,20257.880112252336,2065.728879102684,0.0002626695344524876,8.236864556152089e-05,0.00018030088889096674,0.0006040314169002944,0.09503536332752036,0.09503536332752013,0.4920835613119324,3.410605131648481e-13,28822.82796150294,18560.2321480209,0.85,1.017638681283168,0.6052312125756806,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4446850712128867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,11.0,15409.140224565053,1579.880283516295,0.4920835613119324,5.869282701219017
524.8000000000001,-28.863714966460996,4.53523153623959,35.03007604473466,25.452058610413246,5.143041950085106,-25.462874111978397,-39.61664387080816,1.7422010956025082,-5.501797754581219,-5.501797754581556,40.30808947157608,37927.834108931704,25845.35042386445,63773.18453279615,68390.34492269825,123058.2852638564,79842.63151710099,49380.12070333453,33847.23423751829,28822.5899172937,18559.986037092465,1579.874927262651,102559.29504244082,0.6439388719178348,0.09503431368656709,3.35013,1.2810034875618297,3.350130000001525,1.2835291934704578,1.2838662583344418,2.610092561230948,20257.79202285757,2065.719896484281,0.00026259419627483634,8.234606958286389e-05,0.00018024812669197244,0.0006038546566745776,0.09503431368656695,0.0950343136865672,0.49208022797859907,3.410605131648481e-13,28822.5899172937,18559.986037092465,0.85,1.017605927459738,0.6052009020360317,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4447015988322254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,7.0,15409.104712834815,1579.874927262651,0.49208022797859907,5.869360989297879
525.0,-28.8664951124743,4.535072689278517,35.02993639472649,25.451386311929696,5.142715709021362,-25.46540928192202,-39.61906620590014,1.741629878469074,-5.501940194854626,-5.501940194854963,40.30791713130932,37926.12161966789,25845.30817664371,63771.4297963116,68389.17003386382,123056.8037544114,79842.27998670416,49379.231572508244,33847.831571328796,28822.325543903884,18559.722664170196,1579.8677964602348,102558.23012074266,0.6439356406511654,0.09503323841787889,3.35013,1.2810028336802497,3.350130000000067,1.283532015884308,1.2838689848705342,2.61008682178596,20257.702832038914,2065.7108015518975,0.000262518924357416,8.232357326555002e-05,0.000180195351091866,0.0006036778515533931,0.09503323841787872,0.095033238417879,0.4920768946452657,3.410605131648481e-13,28822.325543903884,18559.722664170196,0.85,1.017572521464307,0.605170361228431,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4447181167681016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,38.0,15409.068885401357,1579.8677964602348,0.4920768946452657,5.869447871519269
525.2,-28.869273551269433,4.534913905221989,35.02979682754344,25.450729100871854,5.142393557267456,-25.467942506114078,-39.62148822667075,1.741062512112121,-5.502084321541474,-5.502084321541815,40.30774774039294,37924.41440131421,25845.270433916798,63769.684835231004,68388.0322258336,123055.37151419457,79841.96634153968,49378.3485170205,33848.46424946575,28822.068854444176,18559.47232853553,1579.861089738086,102557.17668526324,0.6439326899905653,0.09503217491368043,3.35013,1.281002210569568,3.350129999998742,1.2835348201933854,1.2838716933814924,2.6100811191824533,20257.62325351814,2065.702686801114,0.00026244371851571,8.230108554732602e-05,0.00018014263296838398,0.0006035012389863722,0.09503217491368043,0.09503217491368038,0.4920735613119324,3.410605131648481e-13,28822.068854444176,18559.47232853553,0.85,1.017538573183966,0.6051394893742839,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4447346248940236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,13.0,15409.033136479557,1579.861089738086,0.4920735613119324,5.869532766458836
525.4,-28.872050288625303,4.5347551754561275,35.02965732218425,25.450057081785076,5.1420650415271485,-25.470474835136685,-39.62391010774297,1.740489588038531,-5.502230401054987,-5.502230401055374,40.30757708940027,37922.71296347462,25845.237859517114,63767.95082299174,68386.86602865111,123053.9171959364,79841.62159328797,49377.468528111574,33849.058961307106,28821.81330776817,18559.216164240814,1579.8545322704751,102556.12168572578,0.6439295115147616,0.0950311092278647,3.35013,1.2810015847114844,3.350130000000394,1.283537650328652,1.2838744278095553,2.6100753640862764,20257.535783475498,2065.6937673390503,0.00026236857855201377,8.227860480396442e-05,0.00018008997374804935,0.0006033248237525525,0.09503110922786477,0.09503110922786458,0.49207022797859906,3.979039320256561e-13,28821.81330776817,18559.216164240814,0.85,1.0175053978697823,0.6051090656701686,35145.97560679735,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4447511232407222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35145.97560679735,25750.0,,,,,,,,,,,,,12.0,15408.997313110158,1579.8545322704751,0.49207022797859906,5.869619041967534
