time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_dock_external_w,q_useful_w,q_cascade_w,q_cascade_refrigerant_w,q_dock_refrigerant_w,q_evap_total_w,q_evap_load_requested_w,q_map_capacity_balance_error_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_dock_fan_w,w_total_input_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_evaporating_pressure_pa,refrigerant_condensing_pressure_pa,refrigerant_pressure_ratio,refrigerant_condensing_pressure_from_tcond_pa,refrigerant_pressure_ratio_from_tcond,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_pressure_ratio,air_damper_opening,air_damper_resistance_head_coefficient,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,dock_evaporator_ua_w_k,dock_evaporator_ua_ref_w_k,dock_evaporator_lmtd_k,dock_evaporator_air_inlet_c,dock_evaporator_air_outlet_c,dock_evaporator_air_delta_t_k,dock_air_m_dot_kg_s,dock_fan_m_dot_kg_s,dock_air_flow_ratio,dock_fan_power_w,dock_fan_heat_w,humidity_ratio_room_kg_kg_da,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,cascade_valve_flow_kg_s,dock_valve_flow_kg_s,compressor_map_flow_kg_s,m_ref_cascade_kg_s,m_ref_dock_kg_s,valve_opening,cascade_valve_opening,dock_valve_opening,refrigerant_subcooling_k,refrigerant_superheat_k,refrigerant_cascade_superheat_k,refrigerant_dock_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,infiltration_effective_volume_m3,infiltration_maximum_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_fixed_m_dot_kg_s,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_compressor_eta_is,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_dock_evaporator_ua_w_k,startup_solved_vcc_cycle_expansion_valves_cascade_opening,startup_solved_vcc_cycle_expansion_valves_dock_opening,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_tevap_to_nh3_compressor_speed_output,pid_B3_cascade_superheat_to_cascade_expansion_valve_output,pid_B3_dock_superheat_to_dock_expansion_valve_output,pid_B4_subcooling_to_sink_flow_output,pid_B5_loading_dock_temperature_to_dock_air_flow_output
0.0,-30.0,5.0,35.0,24.082169879134767,5.0,-26.5,-40.00098207090048,1.5,0.4098651507561044,-5.0,40.0,42257.704602238395,25750.0,25750.0,68007.7046022384,77250.0212908643,77250.0212908643,25750.0,103000.0212908643,103000.0212908643,-36.66906342250877,131128.48783522024,91419.01130459177,56426.694615965884,38880.351876250985,28128.466544355942,0.0,67008.81842060693,21024.743054624294,1533.0,103036.69035428681,354655.9902153604,1550805.4073803194,4.372703267858558,1554533.227914083,4.383214356453171,0.7474542923081233,0.09539103345998717,4.027634451161993,1.2667487812088805,1.0,0.0,4.0276344511626,1.2847212910722052,1.2850212022149787,3.1350258450224655,19293.25030638875,1967.364013846599,4632.441516551485,4632.441516551485,5.558623872097796,5.0,-2.320540156361051,7.3205401563610515,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.88469140381082e-05,0.0001545854514004476,0.0006226136897088707,0.09509466929724426,0.07132100688712563,0.023773662410118634,0.09539103345998717,0.07154328002449797,0.0238477534354892,0.37668519707160625,0.37668519707160625,0.1255616977511559,0.0,5.409865150756104,5.409865150756104,5.409865150756104,28128.466544355942,21024.743054624294,0.7474542924481272,1.0149067869748363,0.6306290067225401,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,1.0,812.0,812.0,0.0,4.027634451161993,15415.663181390977,36434.54574958496,42257.704602238395,42257.704602238395,6.27409032704403,4321.7045927464915,0.7474542924481272,18178.2683268144,4632.441516551485,0.37668519707160625,0.1255616977511559,0.0,,,,,,
1.0,-30.000007422844025,5.0001758029208805,34.99993052428418,24.082472815085225,5.0044043860655165,-26.501917475948378,-40.00274775372816,1.500309973273472,-0.10292505848252631,-4.991178303587095,39.998033514006174,42265.00115243603,25727.736824258034,25727.736824258034,67992.73797669407,77233.41739744562,77233.41739744562,25727.736824258034,102961.15422170365,102961.15422170365,-128.30138466817152,131093.1677713183,91418.98274757108,56426.25872619142,38880.80446819962,28132.013549614654,0.0,67012.81801781428,21034.32195925684,1533.0,103089.45560637182,354777.95379675477,1555297.8746441554,4.3838628020701496,1554448.440473972,4.381468532186429,0.7477005484218161,0.0954713274600576,4.027634451161993,1.2667483174474912,1.0,0.0,4.027634451162982,1.2847198414944208,1.285019752067095,3.1350293823413984,19293.2442796582,1967.3633992911139,4632.441516551485,4632.441516551485,5.553817945101758,5.0001758029208805,-2.3140350923905717,7.314210895311453,3.5,3.5,1.0,0.0,0.0,0.00023343218509476346,7.883116073319667e-05,0.00015460102436156678,0.000622676411903581,0.09545157749350476,0.07158632548610544,0.02386525200739932,0.09543988388568458,0.07160113747320002,0.02387018998685758,0.37671006222408543,0.37671006222408543,0.1255865629036351,0.0,4.888253245104579,4.97050171252198,4.641716829218353,28132.013549614654,21034.32195925684,0.7474542924481272,1.0146228734720468,0.6307002511250991,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,8.0,15415.663181390977,1533.0,0.37671006222408543,0.1255865629036351,6.27409032704403,3.5
2.0,-30.000007422844025,5.0001758029208805,34.99993052428418,24.08234132397922,5.0044043860655165,-26.501917475948378,-40.00267217690123,1.500309973273472,-0.10427477301061572,-4.991178303587095,39.998033514006174,42264.687463547154,25727.938745513533,25727.938745513533,67992.62620906069,77232.88512583871,77232.88512583871,25727.938745513533,102960.82387135224,102960.82387135224,-149.76518931082683,131099.19227935292,91418.45047596417,56425.94503730255,38880.56159851292,28138.36840800068,0.0,67018.9300065136,21034.761331157122,1533.3548282334968,103110.58906066307,354777.95379675477,1555351.2818095475,4.38401333894771,1554448.440473972,4.381468532186429,0.7475473000480097,0.0954713274600576,4.027634451161993,1.2667466102121403,1.0,0.0,4.027634451160499,1.2847198414944208,1.285019752067095,3.1350293823413984,19293.131947997677,1967.3519446495673,4632.441516551485,4632.441516551485,5.553861533618694,5.0001758029208805,-2.3139816691089106,7.314157472029791,3.500053033881132,3.500053033881132,1.0000151525374663,0.0,0.0,0.00023343218509476346,7.883183496501411e-05,0.00015460035012974935,0.000622673696344285,0.09544956679626129,0.0715882768972981,0.023861289898963182,0.09545944916917355,0.07160459764633455,0.023866729813723047,0.37670357287424977,0.37670357287424977,0.125560127270879,0.0,4.88690353057649,4.947262852116694,4.70590948050409,28138.36840800068,21034.761331157122,0.7474542924481272,1.0145286742484914,0.6306380519569534,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514953074284596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,5.0,15415.62780887833,1533.3548282334968,0.37670357287424977,0.125560127270879,6.27409032704403,3.500053033881132
3.0,-29.99996555346485,5.000457176518825,34.99987927572575,24.093013547267788,5.012684105604191,-26.498700582677746,-39.99892867924643,1.511419134817096,-0.17218563531315567,-4.986351454077018,39.998404058671746,42249.33072830661,25716.23516824666,25716.23516824666,67965.56589655328,77242.57086379179,77242.57086379179,25716.23516824666,102958.80603203844,102958.80603203844,-179.36341695557348,131099.69747034347,91416.6818590279,56423.44172354283,38881.377928316746,28140.89143830503,0.0,67022.26936662177,21034.030103232097,1533.3567886104775,103138.16944899401,354844.7009067697,1555929.0779601878,4.3848170029992515,1554464.4166915477,4.380689390934319,0.7474542926028576,0.09548561225110322,4.027634451161993,1.2667293801577766,1.0,0.0,4.0276344511626965,1.2846678766527477,1.2849677764014213,3.1351561943435153,19292.75869555532,1967.3138834928666,4632.441516551485,4632.441516551485,5.5513350954056975,5.000457176518825,-2.310372490900512,7.310829667419338,3.5000533268860003,3.5000533268860003,1.000015236253143,0.0,0.0,0.00023343320234570458,7.886523792237272e-05,0.00015456796442333187,0.0006225432585573928,0.09548561235144953,0.07161749116188655,0.023868121189562976,0.09548561225110333,0.07161749108662337,0.023868121164479845,0.37669695190465835,0.37669695190465835,0.12554263426340495,0.0,4.814165818763854,4.922690631271394,4.488839922358181,28140.89143830503,21034.030103232097,0.7474542924481272,1.0140743746645096,0.630377501800133,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514953074284596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,26.0,15415.629264078001,1533.3567886104775,0.37669695190465835,0.12554263426340495,6.27409032704403,3.5000533268860003
4.0,-29.999928761218477,5.000715293365885,34.99984495615998,24.0928626730107,5.012173066271203,-26.498718568376844,-39.99913501376284,1.51096287342956,-0.184558993911196,-4.987051249163478,39.99878284830309,42250.34633515814,25719.025978352875,25719.025978352875,67969.372313511,77244.02897975304,77244.02897975304,25719.025978352875,102963.05495810592,102963.05495810592,-182.3904291979561,131107.26192163472,91417.91824181729,56424.235597222374,38881.86960510546,28144.20696352881,0.0,67026.07656863426,21036.508293240848,1533.5528956010858,103145.44538730387,354835.02332152816,1556087.1036914554,4.3853819420791265,1554480.7485231985,4.380854894119711,0.7474542921213376,0.09549244516230565,4.027634451161993,1.2667337776487693,1.0,0.0,4.0276344511617435,1.284670008872027,1.2849699102668852,3.1351509907967405,19293.019624242796,1967.3404908141717,4632.441516551485,4632.441516551485,5.551937544480609,5.000715293365885,-2.310729844720658,7.311445138086543,3.5001385009262487,3.5001385009262487,1.000039571693214,0.0,0.0,0.0002334340962469037,7.886339647381003e-05,0.00015457069977309367,0.0006225542755463293,0.09549244510456098,0.07162619356736909,0.023866251537191897,0.09549244516230528,0.07162619361068175,0.023866251551623915,0.3766901292561553,0.3766901292561553,0.12551527491055187,0.0,4.802492255252275,4.880576413578353,4.56830963573077,28144.20696352881,21036.508293240848,0.7474542924481272,1.0140735635019724,0.6303568476351746,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514950565903735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,15.0,15415.704202477486,1533.5528956010858,0.3766901292561553,0.12551527491055187,6.27409032704403,3.5001385009262487
5.0,-29.85285148061737,4.757932607629154,34.999155321858176,24.040095938276522,4.935096007171023,-26.374035871740766,-39.88187365522606,1.4562803982944041,0.652754173344249,-5.076976600498728,39.980085465695524,42400.46583343089,25325.704937050483,25325.704937050483,67726.17077048137,77342.95911250763,77342.95911250763,25325.704937050483,102668.66404955811,102668.66404955811,24.19829066215607,130761.51840667456,91426.28254999373,56483.78927091689,38824.9925323076,28092.85435711644,0.0,66917.84688942405,20998.124584261463,1533.5277812978131,102644.46575889595,353593.1526699188,1548860.4259927133,4.380346209471379,1553674.7500122245,4.393961642867526,0.747454292729861,0.09501186898551708,4.027634451161993,1.2668162002461032,1.0,0.0,4.027634451162941,1.284918393815822,1.285222977457953,3.134544941178037,19294.784844506998,1967.52049318646,4632.441516551485,4632.441516551485,5.467031768574517,4.757932607629154,-2.441536877409718,7.199469485038872,3.500217128135976,3.500217128135976,1.0000620366102788,0.0,0.0,0.00023703278549466134,7.991633649291926e-05,0.0001571164490017421,0.0006328076228436528,0.0950118690811663,0.07126781597252813,0.023744053108638172,0.0950118689855171,0.07126781590078224,0.023744053084734845,0.376682064668567,0.376682064668567,0.12549786781749556,0.0,5.7297307738429595,7.560195725720462,0.3222870881187987,28092.85435711644,20998.124584261463,0.7474542924481272,1.012079346820483,0.6336196964539818,42257.704602238395,25750.0,0.0,29558.217351357136,-29558.217351357136,0.5252888575819833,0.5252888575819833,23398.698683244205,6159.51866811293,29558.217351357136,0.26056021749745706,0.39794610422877524,1.4511428977619651,1.451494836169293,1.2663431877772031,0.0002334340962469037,0.0035007966152047695,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,71815.92195359553,-3808.217351357136,,,,,,,,,,,,,,,,,19.0,15415.700137355729,1533.5277812978131,0.376682064668567,0.12549786781749556,6.27409032704403,3.500217128135976
6.0,-29.61890507035743,4.374509648862251,34.997219397398744,23.95637483512985,4.80237644428769,-26.17672285892056,-39.70185925774274,1.3601942328508294,2.177825332622831,-5.23555021723826,39.94328728319267,42667.18696597471,24561.990663275974,24561.990663275974,67229.17762925068,77542.15647999127,77542.15647999127,24561.990663275974,102104.14714326724,102104.14714326724,392.2124727513292,130087.60236237306,91477.3269021901,56602.35738817352,38749.966126685096,27983.455219105817,0.0,66733.4213457909,20916.353726781294,1532.5277812978131,101711.93467051591,351411.5616248631,1535703.754222959,4.370100252598817,1552089.3927790963,4.416728310253986,0.7474542926529162,0.09411775617673707,4.027634451161993,1.2670767978811637,1.0,0.0,4.027634451160317,1.2853561074343363,1.2856682883998927,3.1334775070244483,19305.557346305017,1968.6189826602374,4632.441516551485,4632.441516551485,5.302169617364233,4.374509648862251,-2.709042138487469,7.08355178734972,3.4502171281359764,3.4502171281359764,0.9857763223245647,0.0,0.0,0.00024286243488113479,8.155807778345308e-05,0.0001613043570976817,0.0006496749857691594,0.09411775620550222,0.0706426768039294,0.023475079401572823,0.094117756176737,0.07064267678233892,0.02347507939439815,0.3768380969543754,0.3768380969543754,0.1252260623149192,0.0,7.413375549861087,12.51916628806515,3.979039320256561e-13,27983.455219105817,20916.353726781294,0.7474542924481272,1.0074289055388144,0.6393675928121115,42257.704602238395,25750.0,0.0,47198.76438875246,-47198.76438875246,0.8489059677500482,0.8489059677500482,37426.844999526504,9771.919389225957,47198.76438875246,0.9579395410010837,0.6431105816288244,1.4502112863496643,1.4506142117569154,1.2674946417954924,0.00023703278549466134,0.0034416363475122075,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,89456.46899099086,-21448.76438875246,,,,,,,,,,,,,,,,,15.0,15418.049334806987,1532.5277812978131,0.3768380969543754,0.1252260623149192,6.27409032704403,3.4502171281359764
7.0,-29.353179347311656,3.942523427030607,34.9940139190968,23.86958944788205,4.657112103966474,-25.95205837505859,-39.498431131336815,1.2559911317134513,3.991752632339228,-5.411666876886529,39.903348477527956,42975.87642467055,23725.036024991456,23725.036024991456,66700.912449662,77779.87610348104,77779.87610348104,23725.036024991456,101504.9121284725,101504.9121284725,817.0820113060909,129368.75953863928,91548.98890340653,56744.98922459629,38671.110754233596,27863.847410166774,0.0,66534.95816440036,20826.952351281143,1531.5277812978131,100687.8301171664,349001.0187980313,1520509.4520696504,4.356747889465552,1550370.11365051,4.442308274600531,0.7474542924636439,0.09313653414518112,4.027634451161993,1.2674110923660922,1.0,0.0,4.027634451162211,1.2858301943334023,1.286151210875754,3.1323221906839667,19320.681037834765,1970.1611700055337,4632.441516551485,4632.441516551485,5.121497150093115,3.942523427030607,-3.000268791898519,6.942792218929126,3.4002171281359765,3.4002171281359765,0.9714906080388505,0.0,0.0,0.0002496440293482126,8.345084634833562e-05,0.00016619318299987697,0.0006693653893985741,0.09313653414360272,0.06995938130128934,0.02317715284231338,0.09313653414529546,0.06995938130247495,0.02317715284270617,0.37726547379428815,0.37726547379428815,0.12498594735423768,0.0,9.403419509225785,18.26862540850709,3.979039320256561e-13,27863.847410166774,20826.952351281143,0.7474542924481272,1.002494241972041,0.6459142323120127,42257.704602238395,25750.0,0.0,53863.310594805786,-53863.310594805786,0.9875691371296779,0.9875691371296779,42825.068564338006,11038.242030467778,53863.310594805786,1.8832501480516748,0.7481584372194529,1.4489969221080379,1.4492155577489374,1.2693158505684787,0.00024286243488113479,0.003350016973181048,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,96121.01519704418,-28113.310594805786,,,,,,,,,,,,,,,,,11.0,15421.659593517092,1531.5277812978131,0.37726547379428815,0.12498594735423768,6.27409032704403,3.4002171281359765
8.0,-29.082599126802474,3.5067351860368627,34.989625400182526,23.783833218645327,4.510425797074573,-25.723166298660587,-39.29183426136149,1.1509929689326766,5.964589753041196,-5.59050052883459,39.863340441741805,43294.0728389702,22892.17662340009,22892.17662340009,66186.2494623703,78027.56847810622,78027.56847810622,22892.17662340009,100919.7451015063,100919.7451015063,1265.0860880889231,128662.14726178852,91628.08910666703,56894.5934675309,38592.772932373475,27742.40216028222,0.0,66335.1750926557,20736.177586119276,1530.5277812978131,99654.65901341737,346566.59110681905,1504479.3545282464,4.341097477755825,1548649.2979027522,4.4685475681798374,0.7474542927579105,0.09214735561737042,4.027634451161993,1.2677699420275168,1.0,0.0,4.027634451161854,1.286307744181755,1.2866379930806762,3.131159296350228,19337.374502345185,1971.8634296467383,4632.441516551485,4632.441516551485,4.941708717014013,3.5067351860368627,-3.2923122566244447,6.7990474426613074,3.3502171281359767,3.3502171281359767,0.9572048937531362,0.0,0.0,0.00025672838262327276,8.541458552563086e-05,0.00017131379709764188,0.000689989351149838,0.09214735572412186,0.06927499868635766,0.02287235703776421,0.09214735561737053,0.06927499860610352,0.022872357011266903,0.37796118856371724,0.37796118856371724,0.12479052205235913,0.0,11.555090281875778,24.30699971461587,3.979039320256561e-13,27742.40216028222,20736.177586119276,0.7474542924481272,0.9977549523299307,0.6526563437647955,42257.704602238395,25750.0,0.0,55152.41229584918,-55152.41229584918,1.0337614638083303,1.0337614638083303,43979.18313042693,11173.229165422246,55152.41229584918,2.896694063204532,0.78315262409722,1.4476938150341905,1.4476300257762325,1.2713717937804452,0.0002496440293482126,0.003249400160629023,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,97410.11689808758,-29402.41229584918,,,,,,,,,,,,,,,,,20.0,15425.744907743196,1530.5277812978131,0.37796118856371724,0.12479052205235913,6.27409032704403,3.3502171281359767
9.0,-28.81719801341128,3.0836336159906237,34.98417090956358,23.700036154501163,4.366283563317602,-25.498681714741945,-39.08942100880665,1.0477672646482779,8.033900871842377,-5.766486290019142,39.824301154632685,43608.73192193196,22090.93840876148,22090.93840876148,65699.67033069345,78272.90581434785,78272.90581434785,22090.93840876148,100363.84422310934,100363.84422310934,1720.9072323988075,127986.11358112996,91707.95482667896,57043.78093426308,38515.74876935098,27622.269358020618,0.0,66138.0181273716,20646.38379302197,1529.5277812978131,98642.93699071053,344183.96845114493,1488176.5825550354,4.323782392456998,1546971.5417662512,4.494606616129581,0.747454292238553,0.09117939117809766,4.027634451161993,1.2681297499826178,1.0,0.0,4.02763445116273,1.2867772514259326,1.2871167937544765,3.130016828241873,19354.229523036192,1973.5821634336082,4632.441516551485,4632.441516551485,4.7687463144071325,3.0836336159906237,-3.5768473127184603,6.6604809287090845,3.300217128135977,3.300217128135977,0.942919179467422,0.0,0.0,0.00026385658602976386,8.737990098586204e-05,0.00017647668504390182,0.0007107835765096834,0.09117939113492624,0.06861091418823297,0.022568476946693266,0.09117939117809754,0.06861091422071872,0.022568476957378937,0.3788929341707701,0.3788929341707701,0.12463084847752297,0.0,13.800387161861522,30.405450301732287,3.979039320256561e-13,27622.269358020618,20646.38379302197,0.7474542924481272,0.9933722266089988,0.6593595205400362,42257.704602238395,25750.0,0.0,54431.249996787185,-54431.249996787185,1.043696349003808,1.043696349003808,43530.90566350975,10900.344333277437,54431.249996787185,3.9361433007501465,0.7906790522756121,1.4463852473981533,1.4460189186713348,1.2734502627326931,0.00025672838262327276,0.0031506330461445317,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,96688.95459902557,-28681.249996787185,,,,,,,,,,,,,,,,,15.0,15429.90048340302,1529.5277812978131,0.3788929341707701,0.12463084847752297,6.27409032704403,3.300217128135977
