duration_s,room_max_c_base,room_max_c_lpr,room_max_c_delta,room_max_c_delta_pct,room_peak_delta_from_initial_k_base,room_peak_delta_from_initial_k_lpr,room_peak_delta_from_initial_k_delta,room_peak_delta_from_initial_k_delta_pct,room_final_c_base,room_final_c_lpr,room_final_c_delta,room_final_c_delta_pct,dock_max_c_base,dock_max_c_lpr,dock_max_c_delta,dock_max_c_delta_pct,sink_max_c_base,sink_max_c_lpr,sink_max_c_delta,sink_max_c_delta_pct,energy_input_kwh_base,energy_input_kwh_lpr,energy_input_kwh_delta,energy_input_kwh_delta_pct,energy_useful_kwh_base,energy_useful_kwh_lpr,energy_useful_kwh_delta,energy_useful_kwh_delta_pct,energy_cop_base,energy_cop_lpr,energy_cop_delta,energy_cop_delta_pct,mean_cop_base,mean_cop_lpr,mean_cop_delta,mean_cop_delta_pct,mean_total_input_kw_base,mean_total_input_kw_lpr,mean_total_input_kw_delta,mean_total_input_kw_delta_pct,mean_ref_kw_base,mean_ref_kw_lpr,mean_ref_kw_delta,mean_ref_kw_delta_pct,mean_air_kw_base,mean_air_kw_lpr,mean_air_kw_delta,mean_air_kw_delta_pct,mean_m_ref_kg_s_base,mean_m_ref_kg_s_lpr,mean_m_ref_kg_s_delta,mean_m_ref_kg_s_delta_pct,subcooling_mean_k_base,subcooling_mean_k_lpr,subcooling_mean_k_delta,subcooling_mean_k_delta_pct,superheat_mean_k_base,superheat_mean_k_lpr,superheat_mean_k_delta,superheat_mean_k_delta_pct,infiltration_energy_kwh_base,infiltration_energy_kwh_lpr,infiltration_energy_kwh_delta,infiltration_energy_kwh_delta_pct,infiltration_volume_integrated_m3_base,infiltration_volume_integrated_m3_lpr,infiltration_volume_integrated_m3_delta,infiltration_volume_integrated_m3_delta_pct,infiltration_peak_kw_base,infiltration_peak_kw_lpr,infiltration_peak_kw_delta,infiltration_peak_kw_delta_pct,newton_iterations_max_base,newton_iterations_max_lpr,newton_iterations_max_delta,newton_iterations_max_delta_pct
12,-29.462598357454624,-29.4559350264927,0.006663330961924174,0.0226162366301892,0.537401642545376,0.5440649735073002,0.006663330961924174,1.2399163743459436,-30.054651482293757,-30.072284859034493,-0.017633376740736395,-0.05867104049143551,5.081226590744991,5.045601951464339,-0.03562463928065185,-0.7011031420157292,35.01265540384153,35.01046570738772,-0.0021896964538044017,-0.006254014237275336,95.57443280694514,93.4821226228596,-2.092310184085534,-2.1891944557095937,102.03729420247436,102.0369368644715,-0.00035733800285697725,-0.0003502033307036791,1.067621237246407,1.091512836910273,0.023891599663866003,2.2378348079218497,1.0676199512891633,1.0915116468691293,0.023891695579965955,2.237846487518003,63.71628135467958,62.321413710993774,-1.3948676436858065,-2.189185580246299,24.78589063017342,23.416415482920563,-1.3694751472528566,-5.52522064946784,38.93039072450616,38.90499822807321,-0.02539249643294994,-0.06522538294732733,0.09556620581808663,0.09243355844315956,-0.003132647374927064,-3.2779865519513876,0.0,10.000008414408928,10.000008414408928,,4.913333648579613,0.0,-4.913333648579613,-100.0,0.10938787542718682,0.10937036018522332,-1.7515241963500516e-05,-0.016012050599848608,7.118404868047094,7.117328808343747,-0.0010760597033465658,-0.015116584730615053,10.291181167579031,10.28040751034423,-0.010773657234802059,-0.10468824772751065,4.0,8.0,4.0,100.0
20,-29.059345452802543,-29.04015006146234,0.019195391340200985,0.0660558283096144,0.9406545471974574,0.9598499385376584,0.019195391340200985,2.040641954837814,-30.098415304629377,-30.116894494289024,-0.018479189659647233,-0.061395889028101044,5.143862803001506,5.083088258696566,-0.060774544304939226,-1.1814962146633567,35.02227606498145,35.01865344992864,-0.003622615052805145,-0.010343745352482602,95.65590674685309,93.52770313494769,-2.1282036119054055,-2.224853314639056,102.0575712785294,102.05766862810118,9.734957178864079e-05,9.53869179611968e-05,1.0669238811212973,1.0912025550423914,0.024278673921094063,2.2755769507734778,1.0669199377316896,1.0911991937655843,0.02427925603389469,2.275639921540249,63.77059284455585,62.35179998525845,-1.4187928592973975,-2.2248387477842324,24.80081160077971,23.428442248490683,-1.3723693522890272,-5.533566297668587,38.96978124377615,38.92335773676777,-0.046423507008377385,-0.11912693765965562,0.09565476287732205,0.09244458562656924,-0.003210177250752816,-3.3560035634293426,0.0,10.000016368782497,10.000016368782497,,4.777642839411078,0.0,-4.777642839411078,-100.0,0.1966695330781784,0.1967718965384407,0.00010236346026232246,0.052048458477618804,12.979449927096683,12.97915928060724,-0.00029064648944299165,-0.0022392820271698918,10.320105013625547,10.298844678454948,-0.021260335170598665,-0.20600890342228909,4.0,8.0,4.0,100.0
30,-28.599588412821937,-28.559131878010245,0.040456534811692535,0.14145845117671282,1.4004115871780627,1.4408681219897552,0.040456534811692535,2.888903175473974,-30.15085950212285,-30.17191805892317,-0.02105855680031965,-0.06984396845747289,5.214706872003346,5.129220729654749,-0.08548614234859642,-1.6393278557526096,35.03403591880234,35.02837993092325,-0.0056559878790878315,-0.016144265799682908,95.7512445617188,93.58010998334659,-2.171134578372218,-2.2674740034034335,102.08180294138263,102.08249635294474,0.0006934115621106685,0.0006792704890888721,1.0661146328555897,1.0908567682930832,0.024742135437493484,2.3207762725497574,1.0661056788432166,1.090850027183754,0.024744348340537403,2.3210033331204447,63.83414630153959,62.386737141252695,-1.4474091602868953,-2.267452835430159,24.817304940300225,23.44243159129799,-1.374873349002236,-5.539978463856533,39.016841361239365,38.94430554995471,-0.07253581128465214,-0.18590897867173747,0.09576744787401406,0.09245642117197082,-0.0033110267020432377,-3.4573613221885444,0.0,9.999953017057168,9.999953017057168,,4.653985715402377,0.0,-4.653985715402377,-100.0,0.30171665098368267,0.3022092351834101,0.0004925841997274194,0.1632605287515468,20.222144841074726,20.226682238115963,0.004537397041236346,0.022437763535449,10.355050624013494,10.320047766477192,-0.035002857536301946,-0.3380269088702461,4.0,12.0,8.0,200.0
