duration_s,case,rows,t_end_s,room_initial_c,room_final_c,room_max_c,room_min_c,room_peak_delta_from_initial_k,dock_final_c,dock_max_c,dock_min_c,dock_peak_delta_from_initial_k,sink_final_c,sink_max_c,tcond_max_c,energy_input_kwh,energy_useful_kwh,energy_air_kwh,energy_ref_kwh,energy_cop,mean_cop,min_cop,mean_total_input_kw,mean_ref_kw,mean_air_kw,mean_q_useful_kw,mean_m_ref_kg_s,mean_m_air_kg_s,subcooling_mean_k,subcooling_min_k,subcooling_max_k,superheat_mean_k,cascade_superheat_mean_k,dock_superheat_mean_k,cascade_valve_mean,dock_valve_mean,infiltration_energy_kwh,infiltration_volume_integrated_m3,infiltration_volume_reported_m3,infiltration_peak_kw,newton_iterations_max,newton_iterations_mean,receiver_mass_mean_kg,receiver_mass_min_kg,receiver_mass_max_kg,receiver_fill_mean
12,base,5401,5400.0,-30.0,-30.054651482293757,-29.462598357454624,-30.10341446585572,0.537401642545376,5.00222095386085,5.081226590744991,4.2645066767326,0.08122659074499072,35.00256941464386,35.01265540384153,40.025414330905335,95.57443280694514,102.03729420247436,58.39559207686913,37.178840730076026,1.067621237246407,1.0676199512891633,1.057107049722255,63.71628135467958,24.78589063017342,38.93039072450616,68.02485914920008,0.09556620581808663,4.027634451161994,0.0,0.0,0.0,4.913333648579613,5.011435960927975,4.999400973289352,0.37558663410510673,0.12473955265266956,0.10938787542718682,7.118404868047094,0.0,10.291181167579031,4.0,2.0142566191446027,,,,
12,lpr,5401,5400.0,-30.0,-30.072284859034493,-29.4559350264927,-30.079342301280654,0.5440649735073002,5.000642051029753,5.045601951464339,4.316355289465312,0.045601951464338875,35.002060651982745,35.01046570738772,40.021123774737376,93.4821226228596,102.0369368644715,58.35749625953842,35.124626363321184,1.091512836910273,1.0915116468691293,1.057423699919565,62.321413710993774,23.416415482920563,38.90499822807321,68.02462040170775,0.09243355844315956,4.028046144702075,10.000008414408928,9.9997285484489,10.000082043918262,0.0,0.0,0.0,0.3750056781186684,0.5,0.10937036018522332,7.117328808343747,0.0,10.28040751034423,8.0,2.3712275504536198,0.0,0.0,0.0,1.0
20,base,5401,5400.0,-30.0,-30.098415304629377,-29.059345452802543,-30.18486183465901,0.9406545471974574,5.003852108527576,5.143862803001506,3.788576052648207,0.14386280300150567,35.004602468594875,35.02227606498145,40.04473443975002,95.65590674685309,102.0575712785294,58.454682527406064,37.20122421944703,1.0669238811212973,1.0669199377316896,1.0487527592226549,63.77059284455585,24.80081160077971,38.96978124377615,68.03837432013995,0.09565476287732205,4.027634451161994,0.0,0.0,0.0,4.777642839411078,5.020531859366515,4.9989207429831986,0.3760545041217218,0.12465630078888647,0.1966695330781784,12.979449927096683,0.0,10.320105013625547,4.0,2.0503610442510647,,,,
20,lpr,5401,5400.0,-30.0,-30.116894494289024,-29.04015006146234,-30.141719444359342,0.9598499385376584,5.001383767031902,5.083088258696566,3.917300393867641,0.08308825869656644,35.00392759213921,35.01865344992864,40.03764153009578,93.52770313494769,102.05766862810118,58.38503441269234,35.142668722255344,1.0912025550423914,1.0911991937655843,1.038597376454605,62.35179998525845,23.428442248490683,38.92335773676777,68.03843903033474,0.09244458562656924,4.028046144702075,10.000016368782497,9.999772015188883,10.000076231632642,0.0,0.0,0.0,0.3750058147520124,0.5,0.1967718965384407,12.97915928060724,0.0,10.298844678454948,8.0,2.5173116089613035,0.0,0.0,0.0,1.0
30,base,5401,5400.0,-30.0,-30.15085950212285,-28.599588412821937,-30.283027985771973,1.4004115871780627,5.00585660396576,5.214706872003346,3.345699766954458,0.2147068720033456,35.00703549831968,35.03403591880234,40.06835026239251,95.7512445617188,102.08180294138263,58.525278279402414,37.22596628231638,1.0661146328555897,1.0661056788432166,1.0408449518715457,63.83414630153959,24.817304940300225,39.016841361239365,68.0545253162271,0.09576744787401406,4.027634451161994,0.0,0.0,0.0,4.653985715402377,5.031408591454301,4.9983487276166505,0.37661638634422934,0.12459047811192255,0.30171665098368267,20.222144841074726,0.0,10.355050624013494,4.0,2.092205147194964,,,,
30,lpr,5401,5400.0,-30.0,-30.17191805892317,-28.559131878010245,-30.2159527169286,1.4408681219897552,5.00202852660636,5.129220729654749,3.56248628152032,0.12922072965474918,35.0061136846888,35.02837993092325,40.05726946767077,93.58010998334659,102.08249635294474,58.41645451092015,35.16365547242645,1.0908567682930832,1.090850027183754,1.0240339798654985,62.386737141252695,23.44243159129799,38.94430554995471,68.05498772455668,0.09245642117197082,4.028046144702075,9.999953017057168,9.999559613944616,10.00004476496284,0.0,0.0,0.0,0.37500095801799,0.5,0.3022092351834101,20.226682238115963,0.0,10.320047766477192,12.0,2.6198852064432514,0.0,0.0,0.0,1.0
