time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_dock_external_w,q_useful_w,q_cascade_w,q_cascade_refrigerant_w,q_dock_refrigerant_w,q_evap_total_w,q_evap_load_requested_w,q_map_capacity_balance_error_w,q_cond_w,refrigerant_q_condenser_stage_w,refrigerant_q_subcooler_w,refrigerant_q_oil_cooling_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_total_input_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_compressor_volumetric_efficiency,refrigerant_compressor_suction_density_kg_m3,refrigerant_compressor_displacement_m3_per_rev,low_pressure_receiver_enabled,refrigerant_evaporators_series,refrigerant_evaporator_outlet_c,refrigerant_evaporating_pressure_pa,refrigerant_condensing_pressure_pa,refrigerant_pressure_ratio,refrigerant_condensing_pressure_from_tcond_pa,refrigerant_pressure_ratio_from_tcond,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_low_pressure_pa,air_high_pressure_pa,air_pressure_ratio,air_damper_opening,air_damper_resistance_head_coefficient,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_actual_head_j_kg,air_compressor_actual_head_m,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,air_compressor_eta_is_target,air_compressor_eta_is_effective,regenerator_ua_w_k,regenerator_ua_ref_w_k,regenerator_air_flow_ratio,regenerator_ua_flow_exponent,cascade_ua_w_k,cascade_ua_ref_w_k,cascade_air_flow_ratio,cascade_ua_flow_exponent,condenser_ua_w_k,condenser_ua_ref_w_k,condenser_sink_flow_ratio,condenser_ua_flow_exponent,dock_evaporator_ua_w_k,dock_evaporator_ua_ref_w_k,dock_evaporator_lmtd_k,dock_evaporator_air_inlet_c,dock_evaporator_air_outlet_c,dock_evaporator_air_delta_t_k,dock_air_m_dot_kg_s,dock_air_m_dot_nominal_kg_s,dock_air_flow_ratio,dock_evaporator_ua_flow_exponent,humidity_ratio_room_kg_kg_da,room_relative_humidity,room_saturation_humidity_ratio_kg_kg_da,room_dry_air_mass_kg,room_moisture_infiltration_dry_air_mass_flow_kg_s,room_moisture_deposition_rate_kg_s,room_moisture_deposition_load_w,room_moisture_cumulative_deposited_water_kg,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,cascade_valve_flow_kg_s,dock_valve_flow_kg_s,compressor_map_flow_kg_s,receiver_enabled,receiver_mass_kg,receiver_volume_m3,receiver_liquid_mass_kg,receiver_vapor_mass_kg,receiver_liquid_volume_m3,receiver_liquid_fill_fraction,receiver_liquid_fill_fraction_raw,receiver_overfill_mass_kg,receiver_liquid_feed_fraction,receiver_starvation_flow_multiplier,receiver_outlet_enthalpy_j_kg,receiver_outlet_density_kg_m3,receiver_inlet_m_dot_kg_s,receiver_outlet_m_dot_kg_s,m_ref_cascade_kg_s,m_ref_dock_kg_s,valve_opening,cascade_valve_opening,dock_valve_opening,refrigerant_subcooling_k,refrigerant_superheat_k,refrigerant_cascade_superheat_k,refrigerant_dock_superheat_k,refrigerant_raw_superheat_k,refrigerant_raw_cascade_superheat_k,refrigerant_raw_dock_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,infiltration_effective_volume_m3,infiltration_maximum_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_compressor_mass_flow_fixed_m_dot_kg_s,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_dock_evaporator_ua_w_k,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_compressor_displacement_m3_per_rev,startup_solved_vcc_cycle_expansion_valves_cascade_opening,startup_solved_vcc_cycle_expansion_valves_cascade_flow_coefficient_m2,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_subcooling_to_cascade_expansion_valve_output,pid_B4_subcooling_to_sink_flow_output,pid_B5_loading_dock_temperature_to_dock_air_flow_output
2387.0,-29.964806285232605,5.029787140718021,35.00323592784879,24.084002652112417,4.987661730281217,-26.46956273692593,-39.97712734909726,1.4923997674652605,-5.020815722728287,-5.020815722670238,40.00622525749366,42315.3646939779,25757.10066754539,25757.10066754539,68072.4653615233,77315.41536335537,77315.41536335537,25757.10066754539,103072.51603090076,103072.51603090076,103072.51603090076,129143.67279538554,124642.98932453006,4500.683470855476,0.0,91466.6934161976,56466.642752997475,38888.94518133347,26071.156764484786,64960.101945818256,19893.49841360746,1450.4538549345357,0.0,0.8867902592948298,2.88248701156753,0.0014947054983599872,1.0,1.0,-4.439669903082915,354368.3347034569,1554801.6605239434,4.387529889839156,1554801.6605239434,4.387529889839156,0.7630462504336291,0.09236268969492437,4.028046144702076,101325.0,128366.39740111386,1.266877842596732,1.0,0.0,4.028046144703159,1.2847550613448562,1.2850560891940204,3.135263884841673,22707.45918253692,2315.5164283967433,19301.342694613355,1968.1892077940333,0.85,0.850000105227844,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4616.043050066788,4632.441516551485,5.579909110070522,5.029787140718021,-2.336178584809042,7.365965725527063,3.479374849557967,3.5,0.9941070998737048,0.6,0.00023429538222339313,1.00002780087545,0.00023428886878773265,198.89314916956175,0.0,1.2999833224462105e-06,3.6841527358125608,0.021359757798848283,7.906002974526265e-05,0.0001552353524781305,0.0006252951630710014,0.09236268969498589,0.09236268969498589,0.09236268969498589,0.09236268968164695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487423.6417268372,595.7485028283685,0.0,0.09236268969498589,0.09236268969492437,0.09236268969492437,0.37469327043833567,0.37469327043833567,0.5,9.996889773477365,0.0,0.0,0.0,0.0,0.0,0.0,26071.156764484786,19893.49841360746,0.7630462504336291,1.0479119232032763,0.6514054539088037,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512828475424489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42261.143557493,25750.0,,,,,,,,,,,,,,,,,2.0,16528.051698975913,1450.4538549345357,0.37469327043833567,6.17534620354742,3.479374849557967
2388.0,-29.965072472399655,5.029727977924753,35.003226820534195,24.083973734546475,4.987667494036324,-26.469801772499164,-39.97735393987966,1.4923784485851816,-5.020800048919057,-5.0208000489316245,40.00620908542454,42315.15283810847,25757.09954304238,25757.09954304238,68072.25238115084,77315.27395395409,77315.27395395409,25757.09954304238,103072.37349699647,103072.37349699647,103072.37349699647,129143.47574988272,124642.79583609733,4500.679913785395,0.0,91466.66148577706,56466.54037561846,38889.02345573178,26071.10225288625,64960.12570861803,19893.467304105838,1450.451697136856,0.0,0.8867903976398707,2.882488675968614,0.0014947054983599872,1.0,1.0,-4.439958950677465,354368.5512332172,1554800.9631407496,4.387525240967287,1554800.9631407496,4.387525240967287,0.7630466526172094,0.09236261994722617,4.028046144702076,101325.0,128366.39122106753,1.2668777816044168,1.0,0.0,4.028046144701252,1.2847551745226438,1.2850561940297205,3.1352636086472376,22707.451255512406,2315.5156200652013,19301.336930538797,1968.1886200220054,0.85,0.8500001481167223,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4616.068437712488,4632.441516551485,5.579878177847469,5.029727977924753,-2.336169906736709,7.365897884661463,3.4794067431433455,3.5,0.9941162123266701,0.6,0.00023428886878773265,1.0000276973587887,0.00023428237978460187,198.8933689498579,0.0,1.2954777304267534e-06,3.6713838880294194,0.02136105327657871,7.905800290306581e-05,0.00015523086588466683,0.0006252770908654972,0.09236261993812177,0.09236261993812177,0.09236261993812177,0.09236262001738617,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487423.5635388895,595.7485274544533,0.0,0.09236261993812177,0.09236261994722617,0.09236261994722617,0.37469312233781393,0.37469312233781393,0.5,9.996889773604002,0.0,0.0,0.0,0.0,0.0,0.0,26071.10225288625,19893.467304105838,0.7630466526172094,1.0479082612384776,0.651401954299092,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512844477791795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42261.13078864522,25750.0,,,,,,,,,,,,,,,,,2.0,16528.04752844794,1450.451697136856,0.37469312233781393,6.17534620354742,3.4794067431433455
2389.0,-29.965337687935985,5.029668924459808,35.00321775107838,24.083941988088213,4.9876700865692225,-26.470040138011978,-39.977580460812874,1.4923542585003493,-5.020779810168278,-5.0207798101738454,40.00619196312008,42314.94474195159,25757.0864236218,25757.0864236218,68072.0311655734,77315.13396748947,77315.13396748947,25757.0864236218,103072.22039111127,103072.22039111127,103072.22039111127,129143.2605562148,124642.5843995469,4500.6761566678915,0.0,91466.62976424852,56466.440544281104,38889.099133297124,26071.04016510352,64960.139298400645,19893.432258055767,1450.4491871301793,0.0,0.8867905626618372,2.882490825121615,0.0014947054983599872,1.0,1.0,-4.440272899896911,354368.83082664234,1554800.2247798077,4.38751969565974,1554800.2247798077,4.38751969565974,0.7630471255490383,0.09236254628537216,4.028046144702076,101325.0,128366.38075396197,1.2668776783021167,1.0,0.0,4.028046144703068,1.2847553010812667,1.2850563122807812,3.135263299798818,22707.443380347275,2315.514817021845,19301.325066719044,1968.1874102490704,0.85,0.8499999204412355,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4616.093749012851,4632.441516551485,5.579844739749912,5.029668924459808,-2.3361578931501845,7.365826817609992,3.4794385409352393,3.5,0.9941252974100684,0.6,0.00023428237978460187,1.0000275963171383,0.00023427591463216383,198.89358792834258,0.0,1.2906196938070235e-06,3.6576162122491045,0.021362343896272517,7.905597673368146e-05,0.0001552264030509204,0.0006252591143652305,0.09236254629075445,0.09236254629075445,0.09236254629075445,0.09236254623599612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487423.4807569156,595.7485535274698,0.0,0.09236254629075445,0.09236254628537216,0.09236254628537216,0.3746929742366993,0.3746929742366993,0.5,9.996889773711711,0.0,0.0,0.0,0.0,0.0,0.0,26071.04016510352,19893.432258055767,0.7630471255490383,1.0479046366091977,0.6513986145807635,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512860420573737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42261.11702096944,25750.0,,,,,,,,,,,,,,,,,2.0,16528.043368955518,1450.4491871301793,0.3746929742366993,6.17534620354742,3.4794385409352393
2390.0,-29.965601952880398,5.029610020173483,35.00320871803998,24.08389780847358,4.987658377481323,-26.47027925973778,-39.97780705159528,1.4923174722562575,-5.020757710712871,-5.020757710717208,40.00617487494796,42314.74118156888,25757.06852215699,25757.06852215699,68071.80970372587,77315.00150524495,77315.00150524495,25757.06852215699,103072.07002740193,103072.07002740193,103072.07002740193,129143.04560480907,124642.37324947242,4500.672355336651,0.0,91466.598662655,56466.33834488523,38889.178130855296,26070.975577407142,64960.15370826244,19893.395994248414,1450.4465508507328,0.0,0.8867907370310724,2.8824931718643985,0.0014947054983599872,1.0,1.0,-4.440570171563422,354369.13612545986,1554799.4878915604,4.387513836253233,1554799.4878915604,4.387513836253233,0.7630476249415017,0.09236247170911545,4.028046144702076,101325.0,128366.37256957626,1.2668775975285098,1.0,0.0,4.02804614469984,1.2847554865145172,1.2850564894509051,3.135262847275306,22707.435659086794,2315.5140296723953,19301.32137123362,1968.1870334144298,0.85,0.8500000467252163,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4616.119007983783,4632.441516551485,5.579810329328381,5.029610020173483,-2.336144503082278,7.365754523255761,3.479470273103189,3.5,0.9941343637437683,0.6,0.00023427591463216383,1.0000274974640175,0.00023426947281576465,198.89380612238222,0.0,1.2858773649049811e-06,3.6441764521407163,0.021363629773637424,7.905394998754396e-05,0.00015522196464461986,0.000625241236259843,0.0923624717069906,0.0923624717069906,0.0923624717069906,0.09236247171829068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487423.39813986747,595.7485795485421,0.0,0.0923624717069906,0.09236247170911545,0.09236247170911545,0.3746928261350357,0.3746928261350357,0.5,9.996889773839435,0.0,0.0,0.0,0.0,0.0,0.0,26070.975577407142,19893.395994248414,0.7630476249415017,1.0479009949612796,0.6513953364643404,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512876305194937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42261.10358120933,25750.0,,,,,,,,,,,,,,,,,2.0,16528.039220055194,1450.4465508507328,0.3746928261350357,6.17534620354742,3.479470273103189
2391.0,-29.96586542670633,5.02955141295716,35.00319963246849,24.08388453712689,4.987681399391856,-26.470514139842866,-39.978033013734944,1.4923119553251887,-5.0207285153698535,-5.020728515369193,40.006155293150606,42314.53843240954,25757.03287369158,25757.03287369158,68071.57130610112,77314.85377425981,77314.85377425981,25757.03287369158,103071.8866479514,103071.8866479514,103071.8866479514,129142.78480639447,124642.11664862421,4500.668157770249,0.0,91466.56630826573,56466.25097189816,38889.23926263063,26070.898158443073,64960.137421073705,19893.352877513324,1450.4433399044349,0.0,0.8867909565486953,2.882496272122266,0.0014947054983599872,1.0,1.0,-4.440969546507404,354369.539452619,1554798.6434720121,4.38750645970771,1554798.6434720121,4.38750645970771,0.7630482370271103,0.09236238950326454,4.028046144702076,101325.0,128366.36783710832,1.2668775508226826,1.0,0.0,4.02804614470041,1.2847555256241823,1.285056520293143,3.1352627518337393,22707.427626808087,2315.5132106079127,19301.313206552477,1968.1862008486567,0.85,0.8499999878350644,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4616.144224340028,4632.441516551485,5.57977212624332,5.02955141295716,-2.3361258552796555,7.365677268236816,3.4795019518509145,3.5,0.994143414814547,0.6,0.00023426947281576465,1.0000274152041673,0.00023426305044640784,198.89402366364402,0.0,1.2812373819745037e-06,3.6310267405157433,0.021364911011019398,7.905192891215058e-05,0.00015521754390361407,0.0006252234293110778,0.09236238950949163,0.09236238950949163,0.09236238950949163,0.09236238945310127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487423.30346716486,595.7486093666585,0.0,0.09236238950949163,0.09236238950326454,0.09236238950326454,0.37469267803301415,0.37469267803301415,0.5,9.996889773903632,0.0,0.0,0.0,0.0,0.0,0.0,26070.898158443073,19893.352877513324,0.7630482370271103,1.0478975877907861,0.6513923786540866,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512892132915118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42261.0904314977,25750.0,,,,,,,,,,,,,,,,,2.0,16528.035081357877,1450.4433399044349,0.37469267803301415,6.17534620354742,3.4795019518509145
2392.0,-29.966127817730605,5.029492728342886,35.003190677184435,24.08383215023207,4.987660519706616,-26.470752225120883,-39.978259429894365,1.4922668451942687,-5.020716952593716,-5.020716952628525,40.00614088114727,42314.34228560616,25757.04216142544,25757.04216142544,68071.3844470316,77314.72522877909,77314.72522877909,25757.04216142544,103071.76739020454,103071.76739020454,103071.76739020454,129142.61879492263,124641.95393823323,4500.664856689405,0.0,91466.53569647207,56466.15275966832,38889.314374226386,26070.851404718094,64960.16577894448,19893.32596367307,1450.4415233140544,0.0,0.8867910675939585,2.8824974999759854,0.0014947054983599872,1.0,1.0,-4.441183893795255,354369.6991899007,1554798.0219894773,4.387502728206701,1554798.0219894773,4.387502728206701,0.7630485730923592,0.09236232465471891,4.028046144702076,101325.0,128366.35959704652,1.2668774694995957,1.0,0.0,4.028046144701451,1.2847557499076598,1.2850567363775607,3.1352622045019736,22707.420027144988,2315.5124356579454,19301.30889262235,1968.1857609502074,0.85,0.8500000823320795,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4616.169433792535,4632.441516551485,5.579743666441652,5.029492728342886,-2.336120154577707,7.365612882920592,3.4795336220409454,3.5,0.9941524634402701,0.6,0.00023426305044640784,1.0000273025928252,0.0002342566546323498,198.89424031129076,0.0,1.2773708828310148e-06,3.620069081943096,0.02136618838190223,7.904990382377698e-05,0.00015521314662263086,0.0006252057168603663,0.09236232464919723,0.09236232464919723,0.09236232464919723,0.09236232468413225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487423.2337884561,595.7486313126724,0.0,0.09236232464919723,0.09236232465471891,0.09236232465471891,0.3746925299304528,0.3746925299304528,0.5,9.996889774068723,0.0,0.0,0.0,0.0,0.0,0.0,26070.851404718094,19893.32596367307,0.7630485730923592,1.0478942538212481,0.6513890748000754,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512907913285356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42261.079473839134,25750.0,,,,,,,,,,,,,,,,,2.0,16528.030949700467,1450.4415233140544,0.3746925299304528,6.17534620354742,3.4795336220409454
2393.0,-29.96638938212307,5.029434441443644,35.00318162399242,24.083824536670022,4.9876896469385805,-26.4709847638595,-39.97848500786347,1.4922670039292194,-5.020683029543591,-5.020683029553963,40.00612014567182,42314.14630594296,25756.994435569526,25756.994435569526,68071.14074151248,77314.57567150907,77314.57567150907,25756.994435569526,103071.57010707859,103071.57010707859,103071.57010707859,129142.33614506271,124641.67570638482,4500.660438677885,0.0,91466.50325654421,56466.073896273934,38889.36595585586,26070.766037984125,64960.13199383998,19893.27868806871,1450.437946019913,0.0,0.8867913153532009,2.8825011022742957,0.0014947054983599872,1.0,1.0,-4.441620504760692,354370.1678298977,1554797.1278199018,4.387494402650239,1554797.1278199018,4.387494402650239,0.763049258279751,0.09236223815707134,4.028046144702076,101325.0,128366.35453052203,1.2668774194968866,1.0,0.0,4.028046144699811,1.284755762372009,1.285056740627343,3.135262174084517,22707.41197363053,2315.5116144280187,19301.2995180858,1968.1848050135166,0.85,0.8499999709566133,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4616.194546816305,4632.441516551485,5.579702972729692,5.029434441443644,-2.3360980097789668,7.36553245122261,3.4795651712039017,3.5,0.994161477486829,0.6,0.0002342566546323498,1.0000272166364723,0.00023425027912765925,198.89445627682895,0.0,1.2720905782440088e-06,3.6051046987435207,0.021367460472480473,7.904788627995179e-05,0.00015520876835239803,0.0006251880809858345,0.09236223816122058,0.09236223816122058,0.09236223816122058,0.0923622381176336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487423.13353817706,595.7486628874965,0.0,0.09236223816122058,0.09236223815707134,0.09236223815707134,0.37469238182786474,0.37469238182786474,0.5,9.996889774107684,0.0,0.0,0.0,0.0,0.0,0.0,26070.766037984125,19893.27868806871,0.763049258279751,1.0478910472036527,0.6513863966587308,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451292362883537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42261.06450945593,25750.0,,,,,,,,,,,,,,,,,2.0,16528.026830952724,1450.437946019913,0.37469238182786474,6.17534620354742,3.4795651712039017
2394.0,-29.966649979347626,5.029376009827466,35.003172730005225,24.08377054324376,4.987666498866313,-26.47122163792389,-39.97871124939991,1.4922202000215825,-5.0206745989509045,-5.020674599014727,40.006106632771434,42313.95711310437,25757.011801577137,25757.011801577137,68070.9689146815,77314.4496858921,77314.4496858921,25757.011801577137,103071.46148746923,103071.46148746923,103071.46148746923,129142.18617096603,124641.52887619617,4500.657294769862,0.0,91466.47287941046,56465.98031281853,38889.436185102146,26070.7246834968,64960.16086859895,19893.254623065608,1450.436375475178,0.0,0.8867914071994933,2.8825019975218575,0.0014947054983599872,1.0,1.0,-4.441804955678151,354370.28429688414,1554796.5451080604,4.387491316302029,1554796.5451080604,4.387491316302029,0.7630495455946558,0.0923621763531494,4.028046144702076,101325.0,128366.34907426492,1.2668773656478156,1.0,0.0,4.0280461447029365,1.2847559944821525,1.2850569646004686,3.135261607653104,22707.404432223935,2315.5108454185615,19301.29690829255,1968.1845388886672,0.85,0.8500001383206175,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4616.219677395886,4632.441516551485,5.5796763589265,5.029376009827466,-2.3360945778858344,7.3654705877133,3.4795967425365353,3.5,0.9941704978675815,0.6,0.00023425027912765925,1.0000271160560819,0.00023424392735618823,198.89467144421812,0.0,1.2680525389193564e-06,3.593660895297456,0.021368728525019393,7.904586284907092e-05,0.00015520441627858833,0.0006251705506317038,0.0923621763508489,0.0923621763508489,0.0923621763508489,0.0923621763590632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487423.0682063294,595.7486834644203,0.0,0.0923621763508489,0.0923621763531494,0.0923621763531494,0.37469223372475113,0.37469223372475113,0.5,9.99688977428251,0.0,0.0,0.0,0.0,0.0,0.0,26070.7246834968,19893.254623065608,0.7630495455946558,1.0478879363056857,0.6513831946736832,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512939294907752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42261.053065652486,25750.0,,,,,,,,,,,,,,,,,2.0,16528.022720018802,1450.436375475178,0.37469223372475113,6.17534620354742,3.4795967425365353
2395.0,-29.9669096974519,5.029318000621885,35.003163725751804,24.08376436159017,4.987697068314013,-26.471452296904342,-39.978929004259385,1.4922217711384878,-5.020639521540886,-5.020639521520619,40.00608566332068,42313.73653952505,25756.961112266134,25756.961112266134,68070.69765179118,77314.3000911989,77314.3000911989,25756.961112266134,103071.26120346502,103071.26120346502,103071.26120346502,129141.89859881662,124641.24577237437,4500.652826442251,0.0,91466.44052399554,56465.87697755822,38889.51505159702,26070.6373953516,64960.152446948625,19893.20634949608,1450.4327087742577,0.0,0.8867916616811196,2.882505722406662,0.0014947054983599872,1.0,1.0,-4.442249227103048,354370.7688847671,1554795.6408503323,4.387482764855006,1554795.6408503323,4.387482764855006,0.7630502487462405,0.09236208887000083,4.028046144702076,101325.0,128366.33749363747,1.266877251355909,1.0,0.0,4.02804614470264,1.2847560002485412,1.2850569622073067,3.1352615935810646,22707.396399690606,2315.5100263281147,19301.290608977684,1968.1838965373177,0.85,0.8500001615879075,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4616.244695808085,4632.441516551485,5.579635138417918,5.029318000621885,-2.3360715618304204,7.365389562452306,3.4796281730680607,3.5,0.994179478019446,0.6,0.00023424392735618823,1.000027024636869,0.00023423759717018362,198.89488588615208,0.0,1.2633334998162502e-06,3.580287138479253,0.02136999185851921,7.90439153654969e-05,0.00015520001199069135,0.0006251528099568203,0.09236208888878882,0.09236208888878882,0.09236208888878882,0.09236208872648125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487422.96682488517,595.7487153955144,0.0,0.09236208888878882,0.09236208887000083,0.09236208887000083,0.37469208562176226,0.37469208562176226,0.5,9.996889774315118,0.0,0.0,0.0,0.0,0.0,0.0,26070.6373953516,19893.20634949608,0.7630502487462405,1.047883896322178,0.6513798835998984,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512954903084936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42261.03969189567,25750.0,,,,,,,,,,,,,,,,,2.0,16528.018619741666,1450.4327087742577,0.37469208562176226,6.17534620354742,3.4796281730680607
2396.0,-29.967168403447825,5.0292598276069125,35.00315487113139,24.083727795537584,4.987693158432458,-26.471685656294948,-39.97915091514585,1.4921925848773572,-5.020631987153536,-5.020631987157117,40.00607197212421,42313.537639062895,25756.980769361497,25756.980769361497,68070.5184084244,77314.16694588707,77314.16694588707,25756.980769361497,103071.14771524857,103071.14771524857,103071.14771524857,129141.74486383627,124641.09517253947,4500.649691296797,0.0,91466.40954945091,56465.780248009,38889.58811271323,26070.59714858769,64960.185261300925,19893.182793214826,1450.4311975673465,0.0,0.886791749611145,2.8825065224868625,0.0014947054983599872,1.0,1.0,-4.442455661503573,354370.8729709888,1554795.0504506528,4.387479810108261,1554795.0504506528,4.387479810108261,0.7630505231558338,0.09236202728197389,4.028046144702076,101325.0,128366.33053412581,1.2668771826708691,1.0,0.0,4.02804614470073,1.2847561498511133,1.2850571037117553,3.1352612284976216,22707.388709971194,2315.509242194959,19301.2837726296,1968.1831994238196,0.85,0.8500001483725904,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4616.269738042254,4632.441516551485,5.5796091283619305,5.0292598276069125,-2.336068763343227,7.365328590950139,3.479659633640756,3.5,0.9941884667545018,0.6,0.00023423759717018362,1.0000269193789653,0.0002342312918092739,198.89509949282203,0.0,1.2590416230248217e-06,3.5681239596523446,0.021371250900142233,7.904193075826479e-05,0.00015519566641191882,0.000625135305764999,0.09236202727993861,0.09236202727993861,0.09236202727993861,0.09236202728890565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487422.90063115605,595.7487362438934,0.0,0.09236202727993861,0.09236202728197389,0.09236202728197389,0.3746919375183046,0.3746919375183046,0.5,9.99688977446414,0.0,0.0,0.0,0.0,0.0,0.0,26070.59714858769,19893.182793214826,0.7630505231558338,1.047880607707817,0.6513764926755922,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512970458640089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42261.02752871684,25750.0,,,,,,,,,,,,,,,,,2.0,16528.014528389667,1450.4311975673465,0.3746919375183046,6.17534620354742,3.479659633640756
