case,room_setpoint_c,critical_room_c,door_events,min_room_c,max_room_c,max_room_excursion_k,max_room_above_critical_k,time_room_above_critical_s,recovery_time_after_last_open_s,max_dock_c,energy_kwh,peak_power_kw,mean_cop,max_refrigerant_compressor_speed_rpm,max_room_reduction_vs_baseline_k,energy_delta_vs_baseline_kwh,peak_power_delta_vs_baseline_kw,critical_time_reduction_vs_baseline_s
baseline_feedback,-30.0,-28.0,4,-30.17745204551815,-29.460866790569888,0.539133209430112,0.0,0.0,0.0,5.1046068505395805,97.57193681553437,65.93775943138004,1.0457589258299689,1503.7410431172273,0.0,0.0,0.0,0.0
scheduled_precooling,-30.0,-28.0,4,-30.51747343954498,-29.464753343935772,0.5352466560642277,0.0,0.0,0.0,5.102232264275469,98.0989811306777,65.94193216919695,1.0402719034401469,1503.8117213383002,0.003886553365884282,0.5270443151433284,0.004172737816901417,0.0
precooling_feedforward,-30.0,-28.0,4,-30.636016928206228,-27.77725294667251,2.2227470533274882,0.22274705332748823,34.0,0.0,5.471721408391358,97.81803675159217,67.59917104144185,1.0435303905411202,1605.5912974234636,-1.6836138438973762,0.2460999360578029,1.6614116100618048,-34.0
